#1	
double TGround(8760,2)	
3600	276.91
7200	276.91
10800	276.91
14400	276.91
18000	276.91
21600	276.91
25200	276.91
28800	276.91
32400	276.91
36000	276.91
39600	276.91
43200	276.91
46800	276.91
50400	276.91
54000	276.91
57600	276.91
61200	276.91
64800	276.91
68400	276.91
72000	276.91
75600	276.91
79200	276.91
82800	276.91
86400	276.91
90000	276.91
93600	276.91
97200	276.91
100800	276.91
104400	276.91
108000	276.91
111600	276.91
115200	276.91
118800	276.91
122400	276.91
126000	276.91
129600	276.91
133200	276.91
136800	276.91
140400	276.91
144000	276.91
147600	276.91
151200	276.91
154800	276.91
158400	276.91
162000	276.91
165600	276.91
169200	276.91
172800	276.91
176400	276.91
180000	276.91
183600	276.91
187200	276.91
190800	276.91
194400	276.91
198000	276.91
201600	276.91
205200	276.91
208800	276.91
212400	276.91
216000	276.91
219600	276.91
223200	276.91
226800	276.91
230400	276.91
234000	276.91
237600	276.91
241200	276.91
244800	276.91
248400	276.91
252000	276.91
255600	276.91
259200	276.91
262800	276.91
266400	276.91
270000	276.91
273600	276.91
277200	276.91
280800	276.91
284400	276.91
288000	276.91
291600	276.91
295200	276.91
298800	276.91
302400	276.91
306000	276.91
309600	276.91
313200	276.91
316800	276.91
320400	276.91
324000	276.91
327600	276.91
331200	276.91
334800	276.91
338400	276.91
342000	276.91
345600	276.91
349200	276.91
352800	276.91
356400	276.91
360000	276.91
363600	276.91
367200	276.91
370800	276.91
374400	276.91
378000	276.91
381600	276.91
385200	276.91
388800	276.91
392400	276.91
396000	276.91
399600	276.91
403200	276.91
406800	276.91
410400	276.91
414000	276.91
417600	276.91
421200	276.91
424800	276.91
428400	276.91
432000	276.91
435600	276.91
439200	276.91
442800	276.91
446400	276.91
450000	276.91
453600	276.91
457200	276.91
460800	276.91
464400	276.91
468000	276.91
471600	276.91
475200	276.91
478800	276.91
482400	276.91
486000	276.91
489600	276.91
493200	276.91
496800	276.91
500400	276.91
504000	276.91
507600	276.91
511200	276.91
514800	276.91
518400	276.91
522000	276.91
525600	276.91
529200	276.91
532800	276.91
536400	276.91
540000	276.91
543600	276.91
547200	276.91
550800	276.91
554400	276.91
558000	276.91
561600	276.91
565200	276.91
568800	276.91
572400	276.91
576000	276.91
579600	276.91
583200	276.91
586800	276.91
590400	276.91
594000	276.91
597600	276.91
601200	276.91
604800	276.91
608400	276.91
612000	276.91
615600	276.91
619200	276.91
622800	276.91
626400	276.91
630000	276.91
633600	276.91
637200	276.91
640800	276.91
644400	276.91
648000	276.91
651600	276.91
655200	276.91
658800	276.91
662400	276.91
666000	276.91
669600	276.91
673200	276.91
676800	276.91
680400	276.91
684000	276.91
687600	276.91
691200	276.91
694800	276.91
698400	276.91
702000	276.91
705600	276.91
709200	276.91
712800	276.91
716400	276.91
720000	276.91
723600	276.91
727200	276.91
730800	276.91
734400	276.91
738000	276.91
741600	276.91
745200	276.91
748800	276.91
752400	276.91
756000	276.91
759600	276.91
763200	276.91
766800	276.91
770400	276.91
774000	276.91
777600	276.91
781200	276.91
784800	276.91
788400	276.91
792000	276.91
795600	276.91
799200	276.91
802800	276.91
806400	276.91
810000	276.91
813600	276.91
817200	276.91
820800	276.91
824400	276.91
828000	276.91
831600	276.91
835200	276.91
838800	276.91
842400	276.91
846000	276.91
849600	276.91
853200	276.91
856800	276.91
860400	276.91
864000	276.91
867600	276.91
871200	276.91
874800	276.91
878400	276.91
882000	276.91
885600	276.91
889200	276.91
892800	276.91
896400	276.91
900000	276.91
903600	276.91
907200	276.91
910800	276.91
914400	276.91
918000	276.91
921600	276.91
925200	276.91
928800	276.91
932400	276.91
936000	276.91
939600	276.91
943200	276.91
946800	276.91
950400	276.91
954000	276.91
957600	276.91
961200	276.91
964800	276.91
968400	276.91
972000	276.91
975600	276.91
979200	276.91
982800	276.91
986400	276.91
990000	276.91
993600	276.91
997200	276.91
1000800	276.91
1004400	276.91
1008000	276.91
1011600	276.91
1015200	276.91
1018800	276.91
1022400	276.91
1026000	276.91
1029600	276.91
1033200	276.91
1036800	276.91
1040400	276.91
1044000	276.91
1047600	276.91
1051200	276.91
1054800	276.91
1058400	276.91
1062000	276.91
1065600	276.91
1069200	276.91
1072800	276.91
1076400	276.91
1080000	276.91
1083600	276.91
1087200	276.91
1090800	276.91
1094400	276.91
1098000	276.91
1101600	276.91
1105200	276.91
1108800	276.91
1112400	276.91
1116000	276.91
1119600	276.91
1123200	276.91
1126800	276.91
1130400	276.91
1134000	276.91
1137600	276.91
1141200	276.91
1144800	276.91
1148400	276.91
1152000	276.91
1155600	276.91
1159200	276.91
1162800	276.91
1166400	276.91
1170000	276.91
1173600	276.91
1177200	276.91
1180800	276.91
1184400	276.91
1188000	276.91
1191600	276.91
1195200	276.91
1198800	276.91
1202400	276.91
1206000	276.91
1209600	276.91
1213200	276.91
1216800	276.91
1220400	276.91
1224000	276.91
1227600	276.91
1231200	276.91
1234800	276.91
1238400	276.91
1242000	276.91
1245600	276.91
1249200	276.91
1252800	276.91
1256400	276.91
1260000	276.91
1263600	276.91
1267200	276.91
1270800	276.91
1274400	276.91
1278000	276.91
1281600	276.91
1285200	276.91
1288800	276.91
1292400	276.91
1296000	276.91
1299600	276.91
1303200	276.91
1306800	276.91
1310400	276.91
1314000	276.91
1317600	276.91
1321200	276.91
1324800	276.91
1328400	276.91
1332000	276.91
1335600	276.91
1339200	276.91
1342800	276.91
1346400	276.91
1350000	276.91
1353600	276.91
1357200	276.91
1360800	276.91
1364400	276.91
1368000	276.91
1371600	276.91
1375200	276.91
1378800	276.91
1382400	276.91
1386000	276.91
1389600	276.91
1393200	276.91
1396800	276.91
1400400	276.91
1404000	276.91
1407600	276.91
1411200	276.91
1414800	276.91
1418400	276.91
1422000	276.91
1425600	276.91
1429200	276.91
1432800	276.91
1436400	276.91
1440000	276.91
1443600	276.91
1447200	276.91
1450800	276.91
1454400	276.91
1458000	276.91
1461600	276.91
1465200	276.91
1468800	276.91
1472400	276.91
1476000	276.91
1479600	276.91
1483200	276.91
1486800	276.91
1490400	276.91
1494000	276.91
1497600	276.91
1501200	276.91
1504800	276.91
1508400	276.91
1512000	276.91
1515600	276.91
1519200	276.91
1522800	276.91
1526400	276.91
1530000	276.91
1533600	276.91
1537200	276.91
1540800	276.91
1544400	276.91
1548000	276.91
1551600	276.91
1555200	276.91
1558800	276.91
1562400	276.91
1566000	276.91
1569600	276.91
1573200	276.91
1576800	276.91
1580400	276.91
1584000	276.91
1587600	276.91
1591200	276.91
1594800	276.91
1598400	276.91
1602000	276.91
1605600	276.91
1609200	276.91
1612800	276.91
1616400	276.91
1620000	276.91
1623600	276.91
1627200	276.91
1630800	276.91
1634400	276.91
1638000	276.91
1641600	276.91
1645200	276.91
1648800	276.91
1652400	276.91
1656000	276.91
1659600	276.91
1663200	276.91
1666800	276.91
1670400	276.91
1674000	276.91
1677600	276.91
1681200	276.91
1684800	276.91
1688400	276.91
1692000	276.91
1695600	276.91
1699200	276.91
1702800	276.91
1706400	276.91
1710000	276.91
1713600	276.91
1717200	276.91
1720800	276.91
1724400	276.91
1728000	276.91
1731600	276.91
1735200	276.91
1738800	276.91
1742400	276.91
1746000	276.91
1749600	276.91
1753200	276.91
1756800	276.91
1760400	276.91
1764000	276.91
1767600	276.91
1771200	276.91
1774800	276.91
1778400	276.91
1782000	276.91
1785600	276.91
1789200	276.91
1792800	276.91
1796400	276.91
1800000	276.91
1803600	276.91
1807200	276.91
1810800	276.91
1814400	276.91
1818000	276.91
1821600	276.91
1825200	276.91
1828800	276.91
1832400	276.91
1836000	276.91
1839600	276.91
1843200	276.91
1846800	276.91
1850400	276.91
1854000	276.91
1857600	276.91
1861200	276.91
1864800	276.91
1868400	276.91
1872000	276.91
1875600	276.91
1879200	276.91
1882800	276.91
1886400	276.91
1890000	276.91
1893600	276.91
1897200	276.91
1900800	276.91
1904400	276.91
1908000	276.91
1911600	276.91
1915200	276.91
1918800	276.91
1922400	276.91
1926000	276.91
1929600	276.91
1933200	276.91
1936800	276.91
1940400	276.91
1944000	276.91
1947600	276.91
1951200	276.91
1954800	276.91
1958400	276.91
1962000	276.91
