#1
double Internals(25, 16)
0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
3600	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
7200	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
10800	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
14400	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
18000	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
21600	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
25200	0	0.1	0	0.2	0.2	1	0.2	0.2	1	0.2	0.2	1	0.2	0.2	1
28800	0	0.1	0	0.4	0.4	1	0.4	0.4	1	0.4	0.4	1	0.4	0.4	1
32400	0.6	0.6	1	0.6	0.6	1	0.6	0.6	1	0.6	0.6	1	0.6	0.6	1
36000	1	1	1	0.8	0.8	1	0.8	0.8	1	0.8	0.8	1	0.8	0.8	1
39600	0.4	0.4	1	0.8	0.8	1	0.8	0.8	1	0.8	0.8	1	0.8	0.8	1
43200	0	0.1	0	0.4	0.4	1	0.4	0.4	1	0.4	0.4	1	0.4	0.4	1
46800	0	0.1	0	0.6	0.6	1	0.6	0.6	1	0.6	0.6	1	0.6	0.6	1
50400	0.6	0.6	1	0.8	0.8	1	0.8	0.8	1	0.8	0.8	1	0.8	0.8	1
54000	1	1	1	0.8	0.8	1	0.8	0.8	1	0.8	0.8	1	0.8	0.8	1
57600	0.4	0.4	1	0.4	0.4	1	0.4	0.4	1	0.4	0.4	1	0.4	0.4	1
61200	0	0.1	0	0.2	0.2	1	0.2	0.2	1	0.2	0.2	1	0.2	0.2	1
64800	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
68400	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
72000	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
75600	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
79200	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
82800	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
86400	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0
