x,y
-0.001,292.8568439025879
8639.999,289.90388795593
8640.001,289.90388795593
17280.001,290.0956186340333
25920.001,290.5265349426269
34560.001,291.1570927185059
43200.001,291.6841286315918
51840.00023912194,292.1594462533074
60479.999,291.8675791272489
69119.999,291.438963885498
77759.999,291.3335152404786
86399.99900000001,291.2177985534668
86400.001,291.2177985534668
95040.001,291.2280300109864
103680.001,291.27327890625
112320.001,291.7026613437507
120960.001,292.2653911871547
129600.001,292.6640437316894
138239.9996423605,292.8380358955987
146879.999,292.4703004085087
155519.999,292.1073134216308
164159.999,292.0073646423339
172799.999,291.9617742919922
172800.001,291.9617742919922
181440.001,291.9634083984375
190080.001,291.9965234436036
198720.001,292.2392592024369
207360.001,292.7297333684506
216000.001,292.9302567443848
224639.9995981436,293.2227038467188
233279.999,292.537301620908
241919.999,292.297119666921
250559.999,292.2070122070313
259199.999,292.1748483581543
267839.999,292.1496813539075
276479.999,292.0195167846679
276480.001,292.0195167846679
285120.001,292.2639648550003
293760.001,292.359356048584
302400.001,292.8124547424317
311039.9990595134,292.8167899371012
319679.999,292.6754397949219
328319.999,292.2943393432618
336959.999,292.2049451843262
345599.999,292.139148010254
354239.999,292.0487416809082
362879.999,291.9215008850098
362880.001,291.9215008850098
371520.001,292.1828110625206
380160.001,292.3703191955567
388800.001,292.8655327148438
397439.9996465888,293.0932361281721
406079.999,292.6166174936939
414719.999,292.3192973667674
423359.999,292.2490172790527
431999.999,292.1702143249512
440639.999,292.0975026855469
449279.999,292.0244556884766
449280.001,292.0244556884766
457920.001,292.2428277711676
466560.001,292.4423052429199
475200.001,292.6382516784668
483839.9999981894,292.9086717610837
492479.999,292.637270512075
501119.999,292.285046887207
509759.999,292.164019354248
509760.0009999999,292.164019354248
518399.9990484198,292.1656717525565
527039.999,292.0990697204589
535679.999,292.0244861755371
535680.0009999999,292.0244861755371
544320.001,292.294918597412
552960.0006400145,292.4941531296695
561599.9990000001,292.4504208984375
561600.001,292.4504208984375
570240.0002284331,292.7153194332622
578879.9990000001,292.5489390579738
587519.9990000001,292.1569890380859
596159.999,292.0479551147461
604799.999,291.9658290710449
613439.999,291.8942576477051
622079.999,291.822674029541
622080.0009999999,291.822674029541
630720.0009999999,292.0541812383739
639360.0009999999,292.472798400879
648000.0009999999,292.9309884338379
656639.9995331265,293.1587342084696
665279.9990000001,292.5321018918253
673919.9990000001,292.3075594880899
682559.9990000001,292.2593950744629
691199.9990000001,292.2025306091309
699839.9990000001,292.1592633728027
708479.999,292.0493758117676
708480.0009999999,292.0493758117676
717120.0009999999,292.2654985839844
725760.0009999999,292.5229861999512
734400.0009999999,292.9569938964844
743039.9990532257,292.9648937628226
751679.999,292.675945880127
760319.9990000001,292.3595923728595
768959.9990000001,292.2737300903321
777599.9990000001,292.1793604431152
786239.9990000001,292.1078499938964
794879.9990000001,292.0309250427246
794880.001,292.0309250427246
803520.001,292.2308226820788
812160.0009999999,292.4873163391114
820800.0009999999,292.8666912231446
829439.9994829023,292.9532932252716
838079.999,292.681222126301
846719.999,292.3405882141113
855359.999,292.2278775512696
863999.9990000001,292.1605499267578
864000.001,292.1605499267578
