#1
double measurement(2928, 8)
#Time	Office2	Office3	Office4	Office5	Office6	Hall1	Hall2
0	294.7357869	295.391425	294.6826416	297.2336997	296.0219611	291.4	298.4690171
10800	294.5979315	295.2574199	294.5779568	297.2977867	296.0910987	291.4	298.5258007
21600	294.9613291	295.3563194	294.5624269	297.3748615	296.1317121	291.4	298.5231206
32400	295.3443135	296.1441436	294.7627152	297.2565459	296.0107497	291.4	298.7915778
43200	295.4713603	296.0679017	294.8600991	297.3238773	296.1351949	291.4	299.0289174
54000	294.8530869	296.0167418	294.7717467	297.2735201	296.0063126	291.4	299.1734453
64800	294.3954811	295.3172639	294.4436635	297.2595601	296.0821059	291.4	298.8948571
75600	294.1616985	295.050639	294.2398434	297.3429226	296.1097434	291.4	298.737331
86400	294.1574144	295.0006528	294.2315479	297.2293461	296.0356143	291.4	298.7779601
97200	294.2141427	295.0328575	294.2986599	297.340054	296.1000383	291.4	298.8779688
108000	294.8541244	295.1398033	294.4278772	297.5359806	296.3774613	291.4	298.970976
118800	296.0451666	296.1363803	296.0278306	299.0727578	298.5333037	291.4	299.3944606
129600	296.5535626	296.120268	295.9672525	297.9899849	297.4462049	291.4	299.7157394
140400	296.2056692	296.1880443	295.6195211	296.7194261	296.2031635	291.4	299.6805959
151200	295.4104431	295.9142937	295.2483983	296.0631604	295.6643216	291.4	299.4205625
162000	295.2569611	295.7601086	295.038911	296.4853841	295.5529188	291.4	299.100656
172800	295.1827842	295.6820532	294.9707839	297.2639166	295.5861622	291.4	298.8421225
183600	295.0067414	295.5191777	294.8288578	297.3027452	295.536552	291.4	298.7094457
194400	295.2440589	295.7394347	295.0394058	297.6019763	296.1955325	291.4	298.820537
205200	296.5221652	297.0752539	296.64053	299.1344616	298.5539965	291.4	299.5508006
216000	296.6216938	296.9765454	296.6671393	298.0956258	297.4875881	291.4	300.0220407
226800	296.1713752	296.6512087	296.4947493	297.1593105	296.5853406	291.4	299.9245627
237600	295.8040911	296.5470197	296.0264867	296.7511204	296.2554216	291.4	299.6580786
248400	295.6843722	296.572625	295.8671837	296.5481126	296.0929676	291.4	299.3411466
259200	295.6116893	296.5363565	295.7781927	296.3882796	295.9769005	291.4	299.0961483
270000	295.5986279	296.4609363	295.6883941	296.1689602	295.837565	291.4	298.9248364
280800	296.3350972	296.7424921	295.966188	297.4314705	296.3043981	291.4	298.6401235
291600	297.0903623	298.0925757	297.0900648	298.9428949	298.2572979	291.4	298.3651273
302400	296.7508256	297.7523473	296.4211009	297.9180936	297.4433642	291.4	298.680814
313200	297.1852097	297.888782	296.5627314	297.3841371	296.8796296	291.4	297.5574746
324000	296.3576029	297.2925993	296.2899122	296.922623	296.4892	291.4	297.5996
334800	296.0469394	297.0136905	296.0650031	296.6056412	296.2074831	291.4	298.1241655
345600	295.839368	296.8282578	295.9044044	296.3396585	296.0028586	291.4	298.2222384
356400	295.6437748	296.7029634	295.7662577	296.7485926	295.9297239	291.4	298.2693033
367200	295.5423312	296.5801732	295.7020123	297.1440327	295.8650682	291.4	298.3923188
378000	295.6983608	296.8676355	295.8108849	297.073889	296.528432	291.4	298.7386628
388800	295.9485927	297.1399994	295.9902241	297.6380197	296.9652787	291.4	299.2455733
399600	295.8566929	296.963517	295.9727047	296.7961376	296.2883253	291.4	299.3508017
410400	295.7953111	296.8724052	295.9263636	296.5375396	296.1114363	291.4	299.1455636
421200	295.7380777	296.8063492	295.8444189	296.370921	295.9963057	291.4	298.8416546
432000	295.6810452	296.6679441	295.7744514	297.4262522	296.1084454	291.4	298.5468727
442800	295.4553328	296.4641442	295.6142459	297.2735285	295.8016372	291.4	298.3197962
453600	295.2705003	296.3290851	295.4647598	297.5367992	296.0568985	291.4	298.290189
464400	295.8766178	297.3597165	295.9304421	298.9149776	298.2978369	291.4	298.8836483
475200	296.2260894	297.380948	296.2876826	298.3002384	297.7773182	291.4	298.7838171
486000	295.9970509	297.0677337	296.1101811	297.2070655	296.6486994	291.4	297.4564
496800	295.6261372	296.7309415	295.8157675	296.5643763	296.1028276	291.4	298.0254182
507600	295.3358256	296.4669777	295.5212603	296.1105361	295.7333279	291.4	298.1491292
518400	295.1734902	296.2393825	295.3517121	296.6991577	295.6875176	291.4	298.15
529200	294.9964659	296.0470667	295.221694	297.1967023	295.5594197	291.4	298.210276
540000	295.2349232	295.8641549	295.08949	297.3716297	295.5376179	291.4	297.7196793
550800	295.6740356	296.5064826	295.2536617	297.3683751	295.839412	291.4	295.3362119
561600	296.3039792	296.2616142	295.5097389	297.1954374	296.2987684	291.4	296.3969949
572400	295.7227591	295.8823814	295.4759469	297.1874995	295.929498	291.4	295.8024745
583200	295.383792	296.0617837	295.3504491	297.2752061	295.7785056	291.4	296.7341189
594000	295.2444513	296.0440298	295.262098	297.3428099	295.6977247	291.4	297.2967636
604800	295.1639953	296.0294988	295.2231034	297.3075339	295.6239588	291.4	297.5132801
615600	295.0640531	295.9752279	295.1612404	297.2920764	295.853587	291.4	297.6357975
626400	294.8026687	295.7482613	294.9775415	297.5974268	296.4596433	291.4	297.6733624
637200	295.1235865	296.6346371	296.3516444	299.034956	298.3236879	291.4	298.1205156
648000	295.0836723	296.1617098	295.6339149	297.75449	297.0377707	291.4	298.4513858
