#1
double measurement(2171, 2)
#Time	Cooler TempSupPrim
0	288.890625
7200	288.9193943
14400	288.9672893
21600	289.0195929
28800	288.9529789
36000	288.949681
43200	288.9048936
50400	288.8499998
57600	288.849787
64800	288.7608399
72000	288.7201067
79200	288.7057885
86400	288.7416216
93600	288.8471427
100800	288.9454448
108000	288.9738303
115200	288.9456618
122400	288.902666
129600	288.8492398
136800	288.849566
144000	288.8496737
151200	288.8493491
158400	288.8461116
165600	288.7777111
172800	288.8704767
180000	288.9568598
187200	289.0025457
194400	288.8321429
201600	288.6936736
208800	288.6263265
216000	288.5468333
223200	288.5168703
230400	288.5466323
237600	288.5294686
244800	288.4843206
252000	288.3632977
259200	288.3694914
266400	288.3628204
273600	288.2966103
280800	288.2025426
288000	288.107627
295200	288.0252135
302400	287.9533899
309600	287.8805084
316800	287.857627
324000	287.7910258
331200	287.7686443
338400	287.7847459
345600	287.8296609
352800	287.7551285
360000	287.7084748
367200	287.6491525
374400	287.6636753
381600	287.6508475
388800	287.6491525
396000	287.6491525
403200	287.5833331
410400	287.5703387
417600	287.5508471
424800	287.5872879
432000	287.7054056
439200	287.9084906
446400	288.119264
453600	287.9906925
460800	287.8833333
468000	287.8833333
475200	287.8833333
482400	287.8833333
489600	287.8833333
496800	287.8833333
504000	287.8833333
511200	287.8916666
518400	287.9867965
525600	288.0512983
532800	288.0282606
540000	287.9690477
547200	288.0170994
554400	288.1409091
561600	288.1465368
568800	288.2026089
576000	288.2482536
583200	288.3179654
590400	288.3478354
597600	288.4170996
604800	288.5304345
612000	285.775974
619200	288.5893939
626400	288.65
633600	288.5867963
640800	288.4886956
648000	288.4491344
655200	288.4279222
662400	288.3638527
669600	288.3538959
676800	288.393913
684000	288.4504331
691200	288.5867963
698400	288.6512988
705600	288.6530303
712800	288.7500004
720000	288.8413419
727200	288.8499998
734400	288.7543293
741600	288.6504329
748800	288.583478
756000	288.5318179
763200	288.5097825
770400	288.5097825
777600	288.3499998
784800	288.3681817
792000	288.3642856
799200	288.3443721
806400	288.2643481
813600	288.1772728
820800	288.1132033
828000	288.0335495
835200	287.9963203
842400	287.9456523
849600	287.8859307
856800	287.8651514
864000	287.8521644
871200	287.8448051
878400	287.8347825
885600	287.7876625
892800	287.7820348
900000	287.7699137
907200	287.7647188
914400	287.7295655
921600	287.6521645
928800	287.5919911
936000	287.5257573
943200	287.441775
950400	287.4013044
957600	287.3426406
964800	287.2751085
972000	287.2448055
979200	287.1989179
986400	287.1760871
