#1
double measurement(1461, 2)
#Time	Cooler TempSupPrim
0	291.8443899
21600	291.9390608
43200	291.7864989
64800	291.65
86400	291.65
108000	291.5895618
129600	291.4793743
151200	291.4925534
172800	291.8890817
194400	292.1325459
216000	291.9782252
237600	291.8629096
259200	292.2052037
280800	292.103484
302400	291.9676442
324000	291.9861996
345600	280.8181753
367200	286.6387729
388800	289.3716984
410400	290.4833334
432000	287.851259
453600	286.0543604
475200	289.0909336
496800	290.2113693
518400	291.0896615
540000	291.6105252
561600	291.5577998
583200	291.3861413
604800	291.6148007
626400	291.8339402
648000	291.8500008
669600	291.7631991
691200	291.815168
712800	291.6739655
734400	291.3963476
756000	291.2432616
777600	291.3341139
799200	289.9393433
820800	289.3194877
842400	289.5800105
864000	289.5644288
885600	288.5644035
907200	288.439044
928800	288.9898494
950400	289.6379742
972000	290.089347
993600	290.0221541
1015200	289.8688603
1036800	290.0662304
1058400	290.128968
1080000	290.0056707
1101600	289.9367499
1123200	290.0268174
1144800	290.0499996
1166400	290.0499996
1188000	290.1214441
1209600	290.0662133
1231200	289.3041478
1252800	289.3301906
1274400	289.942305
1296000	290.6114585
1317600	291.0312849
1339200	291.1498941
1360800	290.9944168
1382400	290.7148537
1404000	290.7556955
1425600	290.6807558
1447200	290.5555215
1468800	290.7712801
1490400	290.7649306
1512000	290.6035195
1533600	290.5499996
1555200	290.6825788
1576800	290.6760778
1598400	290.4691583
1620000	290.2891033
1641600	290.6423323
1663200	290.7502125
1684800	290.4669023
1706400	290.2645536
1728000	290.4939023
1749600	290.4891731
1771200	290.2082835
1792800	289.7765631
1814400	289.3283193
1836000	288.9229682
1857600	288.7500004
1879200	288.8323363
1900800	289.2108604
1922400	289.5595185
1944000	289.7172825
1965600	289.7500004
1987200	289.919021
2008800	289.92876
2030400	289.799131
2052000	289.7186007
2073600	289.9157177
2095200	289.9342586
2116800	289.788333
2138400	289.6290967
2160000	289.736483
2181600	289.7863063
2203200	289.7500004
2224800	289.6834516
2246400	289.6632744
2268000	289.6066076
2289600	289.5323358
2311200	289.4450418
2332800	289.3744251
2354400	289.3336525
2376000	289.2564075
2397600	289.2234516
2419200	289.2876376
2440800	289.2740994
2462400	289.209583
2484000	289.1495042
2505600	289.0954156
2527200	289.0486526
2548800	288.9977521
2570400	288.898665
2592000	288.9308845
2613600	288.9739873
2635200	288.8682398
2656800	288.7291968
2678400	288.8448383
2700000	288.9407247
2721600	288.8494931
2743200	288.8268057
2764800	288.9468804
2786400	288.717381
2808000	288.5367685
2829600	288.4670478
2851200	288.3429178
2872800	288.1120396
2894400	287.8971751
2916000	287.781445
2937600	287.7644478
2959200	287.6545326
2980800	287.627337
3002400	287.5694912
3024000	287.9903893
3045600	287.9879746
3067200	287.9879746
3088800	287.8916666
3110400	288.0221096
3132000	288.0423521
3153600	288.1989857
3175200	288.3609668
3196800	287.6306357
3218400	288.5752889
3240000	288.4136364
3261600	288.399422
3283200	288.6303751
3304800	288.8138728
3326400	288.6628613
3348000	288.522048
3369600	288.3629756
3391200	288.2619943
3412800	288.047691
3434400	287.8988439
3456000	287.8439305
3477600	287.7798703
3499200	287.7154626
3520800	287.5198412
3542400	287.3395954
3564000	287.2066476
3585600	287.1432179
3607200	287.2078035
3628800	287.465873
3650400	287.392052
3672000	287.3699421
3693600	287.5286435
3715200	287.8669811
3736800	288.4442196
3758400	288.7608227
3780000	288.9416184
3801600	289.4369375
3823200	289.4149351
3844800	289.2495669
3866400	289.2430739
3888000	289.3861392
3909600	288.9437861
3931200	288.4813131
3952800	288.1703758
3974400	288.0383992
3996000	287.8063584
4017600	287.6348265
4039200	287.7351372
4060800	288.3154624
4082400	288.8456648
4104000	289.0775611
4125600	289.0924853
4147200	289.135137
4168800	288.9959537
4190400	288.7554914
4212000	285.1579364
4233600	283.8880058
4255200	283.1134393
4276800	285.5104618
4298400	286.9798091
4320000	286.7160209
4341600	287.1677489
4363200	288.2604046
4384800	286.9233333
4406400	284.0220461
4428000	285.513977
4449600	285.9200287
4471200	282.5672673
4492800	280.2857349
4514400	283.4341498
4536000	285.3158993
4557600	286.3690202
4579200	287.1177233
4600800	287.350288
4622400	287.2649858
4644000	287.1708634
4665600	287.1361671
4687200	287.0354465
4708800	286.8948127
4730400	286.8499998
4752000	286.8499998
4773600	286.8613831
4795200	286.9498561
4816800	287.1804035
4838400	287.7040346
4860000	287.9900575
4881600	288.1403458
4903200	288.2229108
4924800	288.4061664
4946400	288.4500002
4968000	288.3297122
4989600	288.2500004
5011200	288.3235549
5032800	288.2283865
5054400	288.15
5076000	288.15
5097600	288.3508671
5119200	288.4500002
5140800	288.4500002
5162400	288.4500002
5184000	288.4500002
5205600	288.4500002
5227200	288.4500002
5248800	288.3774169
5270400	288.3983405
5292000	288.3499998
5313600	288.3499998
5335200	288.2678935
5356800	288.337013
5378400	288.5780979
5400000	288.8085859
5421600	288.8499998
5443200	288.8227272
5464800	288.6389049
5486400	288.4212843
5508000	288.3361471
5529600	288.3494226
5551200	288.3499998
5572800	288.2853537
5594400	288.2568021
5616000	288.3498555
5637600	288.3499998
5659200	288.3499998
5680800	288.3499998
5702400	288.3499998
5724000	288.3499998
5745600	288.3499998
5767200	288.4136364
5788800	288.4500002
5810400	288.5763687
5832000	288.7479799
5853600	288.9261904
5875200	289.1150792
5896800	289.1505772
5918400	289.2364557
5940000	289.1608226
5961600	289.1463925
5983200	289.049711
6004800	289.0231599
6026400	289.2638529
6048000	289.9426513
6069600	290.071789
6091200	289.9276331
6112800	289.8482691
6134400	289.8865081
6156000	289.935858
6177600	289.8533196
6199200	289.9346034
6220800	290.1038912
6242400	290.2513028
6264000	290.2822726
6285600	290.2585388
6307200	290.2841046
6328800	290.222938
6350400	290.0741327
6372000	289.966063
6393600	289.9498545
6415200	289.9931253
6436800	290.0679447
6458400	290.1497106
6480000	290.2803912
6501600	290.3022437
6523200	290.2500004
6544800	290.1773122
6566400	290.1498553
6588000	290.0764831
6609600	289.9916781
6631200	289.9499992
6652800	290.033357
6674400	290.0489866
6696000	289.9418952
6717600	289.8500008
6739200	289.940538
6760800	289.9439212
6782400	289.8500008
6804000	289.9313678
6825600	289.9499992
6847200	289.8721103
6868800	289.8492772
6890400	289.8500008
6912000	289.8500008
6933600	289.9362513
6955200	289.9499992
6976800	288.7769169
6998400	285.4287265
7020000	286.1102026
7041600	287.5770623
7063200	288.2466715
7084800	288.6364162
7106400	288.9348046
7128000	289.0499996
7149600	289.0654845
7171200	289.1717078
7192800	289.2500004
7214400	289.2500004
7236000	289.07576
7257600	289.5054585
7279200	289.747106
7300800	289.866643
7322400	289.7743764
7344000	289.8463821
7365600	289.826556
7387200	289.4403038
7408800	289.288495
7430400	289.6819828
7452000	289.455065
7473600	289.2735895
7495200	289.3669074
7516800	289.5984803
7538400	289.5779303
7560000	289.3324895
7581600	289.4637484
7603200	289.9489869
7624800	289.43237
7646400	289.1630247
7668000	288.8926917
7689600	288.7028221
7711200	288.5321996
7732800	288.3462428
7754400	288.2005067
7776000	288.1045584
7797600	288.061143
7819200	288.3154125
7840800	288.6106936
7862400	288.1565898
7884000	288.3782199
7905600	288.4005065
7927200	288.4860346
7948800	288.6325037
7970400	288.763778
7992000	288.6607092
8013600	288.8125181
8035200	289.0537626
8056800	289.0767339
8078400	288.9596962
8100000	289.0430534
8121600	289.3926918
8143200	289.798481
8164800	289.7636039
8186400	289.6924857
8208000	289.7602754
8229600	289.5822718
8251200	289.343922
8272800	289.0882054
8294400	288.8235167
