#1
double measurement(731, 2)
#Time	Hall1
0	291
43200	291
86400	291
129600	291
172800	291
216000	291
259200	291
302400	291
345600	291
388800	291
432000	291
475200	291
518400	291
561600	291
604800	291
648000	291
691200	291
734400	291
777600	291
820800	291
864000	291
907200	291
950400	291
993600	291
1036800	291
1080000	291
1123200	291
1166400	291
1209600	291
1252800	291
1296000	291
1339200	291
1382400	291
1425600	291
1468800	291
1512000	291
1555200	291
1598400	291
1641600	291
1684800	291
1728000	291
1771200	291
1814400	291
1857600	291
1900800	291
1944000	291
1987200	291
2030400	291
2073600	291
2116800	291
2160000	291
2203200	291
2246400	291
2289600	291
2332800	291
2376000	291
2419200	291
2462400	291
2505600	291
2548800	291
2592000	291
2635200	291
2678400	291
2721600	291
2764800	291
2808000	291
2851200	291
2894400	291
2937600	291
2980800	291
3024000	291
3067200	291
3110400	291
3153600	291
3196800	291
3240000	291
3283200	291
3326400	291
3369600	291
3412800	291
3456000	291
3499200	291
3542400	291
3585600	291
3628800	291
3672000	291
3715200	291
3758400	291
3801600	291
3844800	291
3888000	291
3931200	291
3974400	291
4017600	291
4060800	291
4104000	291
4147200	291
4190400	291
4233600	291
4276800	291
4320000	291
4363200	291
4406400	290.8873429
4449600	290.7344852
4492800	291.687824
4536000	291.7072763
4579200	291.7066595
4622400	290.6257203
4665600	290.375198
4708800	290.1699568
4752000	290.2130406
4795200	291.163463
4838400	292.1735041
4881600	292.1847009
4924800	292.4006587
4968000	291.811023
5011200	291.8036795
5054400	291.5910954
5097600	292.4947255
5140800	292.2890777
5184000	292.4219334
5227200	292.2284996
5270400	292.2257032
5313600	292.0958151
5356800	292.7011543
5400000	292.8953497
5443200	292.3003606
5486400	291.7605266
5529600	292.1166665
5572800	292.1581648
5616000	292.2653294
5659200	292.3375999
5702400	292.2551268
5745600	292.2947336
5788800	292.6130594
5832000	293.1546863
5875200	293.3295817
5918400	293.1810246
5961600	292.8983057
6004800	292.8381676
6048000	292.6900433
6091200	292.2040015
6134400	292.7041849
6177600	292.7477106
6220800	293.227859
6264000	292.9671484
6307200	292.8623098
6350400	292.2248192
6393600	292.6525328
6436800	292.8357561
6480000	293.0631695
6523200	292.7008685
6566400	292.5625816
6609600	292.3311867
6652800	292.6625093
6696000	292.2001448
6739200	292.5758881
6782400	292.5718273
6825600	292.4693922
6868800	292.5059329
6912000	292.7158415
6955200	292.7208394
6998400	293.2212735
7041600	292.3545587
7084800	292.4520257
7128000	292.0933114
7171200	292.1079593
7214400	291.8080316
7257600	292.281182
7300800	291.9304664
7344000	291.9960593
7387200	291.2133142
7430400	292.2369032
7473600	291.8042691
7516800	292.4654015
7560000	291.4115051
7603200	292.4414615
7646400	291.2998192
7689600	290.7363239
7732800	290.2924026
7776000	290.4668477
7819200	291.8757597
7862400	291.4006945
7905600	291.6960928
7948800	291.9498505
7992000	291.6440711
8035200	292.3813314
8078400	291.9037626
8121600	293.0973609
8164800	292.8384225
8208000	292.1390015
8251200	290.8944685
8294400	290.1568016
8337600	289.1666305
8380800	290.2098266
8424000	291.5476139
8467200	293.5465294
8510400	293.0397323
8553600	293.0734998
8596800	292.2171975
8640000	292.4032456
8683200	291.9499264
8726400	292.28068
8769600	292.0197538
8812800	292.6676559
8856000	292.0719968
8899200	291.9970336
8942400	291.7792847
8985600	291.694718
9028800	291.9931985
9072000	292.2272957
9115200	291.5882778
9158400	291.9832128
9201600	291.5111433
9244800	292.3185715
9288000	291.5924746
9331200	292.4042692
9374400	292.256874
9417600	292.9388567
9460800	291.8938179
9504000	291.6992042
9547200	291.4161839
9590400	291.2281477
9633600	291.2922907
9676800	292.4609261
9720000	291.551013
9763200	292.5865412
9806400	291.9403278
9849600	293.4219394
9892800	292.6328963
9936000	293.4666357
9979200	292.8604702
10022400	293.8765396
10065600	293.9594331
10108800	293.1336674
10152000	292.9173998
10195200	292.7746336
10238400	292.5629029
10281600	292.8888564
10324800	292.7547411
10368000	293.1400734
10411200	292.7572825
10454400	294.7651115
10497600	293.6536215
10540800	293.2895716
10584000	292.5044872
10627200	293.5819026
10670400	294.3210851
10713600	293.800675
10756800	292.9358091
10800000	293.3211753
10843200	292.3096972
10886400	291.5190769
10929600	291.2509353
10972800	291.7881072
11016000	291.4700582
11059200	292.4629255
11102400	291.7499169
11145600	291.7807467
11188800	291.0210636
11232000	291.6177039
11275200	291.0887342
11318400	291.4941403
11361600	291.0343389
11404800	291.0526552
11448000	291.9073948
11491200	292.5636004
11534400	292.0520535
11577600	292.5318012
11620800	292.4704518
11664000	292.5838174
11707200	292.275816
11750400	292.7608527
11793600	292.3676315
11836800	291.9325557
11880000	291.0438174
11923200	292.0257551
11966400	292.1789358
12009600	293.1307149
12052800	293.049522
12096000	293.4726549
12139200	292.7879882
12182400	292.6746477
12225600	292.5211523
12268800	293.1473232
12312000	292.2603715
12355200	293.0504986
12398400	292.3830016
12441600	293.6476556
12484800	292.7302945
12528000	293.5448964
12571200	292.4524478
12614400	292.7999792
12657600	291.8910665
12700800	292.2409316
12744000	291.9979148
12787200	292.9929164
12830400	292.4519499
12873600	294.202739
12916800	293.2961715
12960000	293.312013
13003200	293.1384438
13046400	293.2348486
13089600	292.8716645
13132800	294.0540258
13176000	293.3104993
13219200	294.4091163
13262400	293.251245
13305600	293.4475316
13348800	292.9067843
13392000	293.3095767
13435200	293.4422361
13478400	294.6106928
13521600	294.4240457
13564800	294.3215919
13608000	293.9322276
13651200	293.8435506
13694400	292.9581105
13737600	293.183624
13780800	293.2053019
13824000	293.0549167
13867200	292.6702657
13910400	295.0459941
13953600	293.477697
13996800	294.3223445
14040000	293.1908052
14083200	294.6335338
14126400	293.9098579
14169600	294.3371794
14212800	294.2371132
14256000	294.0514183
14299200	293.5807882
14342400	294.102541
14385600	293.5089952
14428800	294.5076585
14472000	294.6071551
14515200	294.1110297
14558400	293.7426555
14601600	293.0194615
14644800	291.884585
14688000	292.5546463
14731200	291.9018258
14774400	292.9958904
14817600	292.885947
14860800	294.644559
14904000	293.7057559
14947200	293.6904379
14990400	293.2587956
15033600	293.702908
15076800	293.8375162
15120000	294.2815961
15163200	293.6231993
15206400	294.4441483
15249600	294.5935385
15292800	294.9044129
15336000	293.6601534
15379200	294.3147924
15422400	293.4388173
15465600	294.3501038
15508800	294.6691406
15552000	295.3761259
15595200	294.5202789
15638400	294.5202789
15681600	293.5397933
15724800	293.4943661
15768000	293.0540868
15811200	292.6184866
15854400	292.9533586
15897600	295.6251176
15940800	294.7320447
15984000	295.8561278
16027200	295.152857
16070400	296.2202987
16113600	294.9428946
16156800	294.9395846
16200000	294.4300753
16243200	295.8030332
16286400	294.924646
16329600	295.7978397
16372800	295.255601
16416000	295.8094236
16459200	294.6969414
16502400	293.5914511
16545600	292.8894147
16588800	295.2832076
16632000	294.916122
16675200	295.0871738
16718400	294.0996449
16761600	294.3909007
16804800	294.0620001
16848000	294.4017011
16891200	294.2732505
16934400	294.8610694
16977600	294.5062291
17020800	294.2864566
17064000	293.8151763
17107200	294.2816033
17150400	293.7371042
17193600	294.5730272
17236800	293.772598
17280000	294.4241035
17323200	294.0151458
17366400	295.6390002
17409600	293.8833334
17452800	294.5075064
17496000	294.1366458
17539200	294.6970784
17582400	293.5556601
17625600	294.0842923
17668800	293.1578958
17712000	294.3413169
17755200	292.8243526
17798400	293.946129
17841600	293.2238557
17884800	295.1599332
17928000	293.7221387
17971200	294.9077108
18014400	293.9569181
18057600	295.8377086
18100800	294.9966584
18144000	295.6595732
18187200	294.7419791
18230400	294.7419851
18273600	293.3694276
18316800	294.0065209
18360000	293.3036042
18403200	294.5724749
18446400	293.1532999
18489600	294.3057432
18532800	293.2240001
18576000	295.195815
18619200	294.2060567
18662400	295.9085784
18705600	294.5135208
18748800	295.4773789
18792000	293.9001463
18835200	295.4435139
18878400	294.5666459
18921600	296.3207221
18964800	295.0026525
19008000	296.1613267
19051200	294.3825
19094400	295.3856637
19137600	294.2328703
19180800	295.9186054
19224000	294.60325
19267200	296.3139325
19310400	295.4337719
19353600	296.8896669
19396800	296.0378934
19440000	297.360568
19483200	296.6057853
19526400	297.1043394
19569600	296.2281667
19612800	297.1165901
19656000	296.8425438
19699200	297.220678
19742400	296.7151042
19785600	296.9744574
19828800	296.7876357
19872000	297.0052752
19915200	296.7770625
19958400	297.0309354
20001600	296.9393065
20044800	297.0001666
20088000	297.0339374
20131200	297.4106635
20174400	296.9462406
20217600	297.660198
20260800	297.2359166
20304000	297.5249375
20347200	297.2115079
20390400	297.3165972
20433600	296.8188331
20476800	296.8022958
20520000	296.6764049
20563200	296.9873853
20606400	297.5867499
20649600	297.7773847
20692800	296.8966012
20736000	297.8601672
20779200	296.9202438
20822400	296.6184957
20865600	296.1408938
20908800	296.7751152
20952000	295.9911109
20995200	296.3392408
21038400	295.4874685
21081600	296.4751364
21124800	295.5680749
21168000	295.8775152
21211200	295.5864137
21254400	296.2923977
21297600	295.816792
21340800	296.5935463
21384000	296.2964286
21427200	296.593492
21470400	296.036771
21513600	296.8090066
21556800	296.1352965
21600000	296.3497083
21643200	295.684153
21686400	296.2137387
21729600	295.555305
21772800	296.3929433
21816000	295.7705919
21859200	296.4159016
21902400	295.7925647
21945600	296.3068716
21988800	295.865094
22032000	296.8444072
22075200	296.4716791
22118400	297.0314569
22161600	296.225469
22204800	297.0997495
22248000	296.9007103
22291200	297.2347967
22334400	296.8078332
22377600	297.0385226
22420800	296.1497228
22464000	297.1601955
22507200	296.735747
22550400	297.0831177
22593600	296.1286971
22636800	297.1067654
22680000	296.7252708
22723200	297.2987898
22766400	296.481934
22809600	296.6691757
22852800	296.1782081
22896000	296.6171119
22939200	295.8954051
22982400	296.6364202
23025600	296.3191213
23068800	297.042884
23112000	296.2971177
23155200	296.84209
23198400	296.2267081
23241600	296.8617721
23284800	296.213659
23328000	296.6806202
23371200	295.8130833
23414400	296.5975165
23457600	296.0037172
23500800	296.4245412
23544000	296.3743803
23587200	296.7782136
23630400	295.9524853
23673600	296.3289408
23716800	295.5421042
23760000	296.3838063
23803200	295.9732247
23846400	296.2020193
23889600	295.8241041
23932800	296.6585143
23976000	296.0271096
24019200	296.6985013
24062400	295.905845
24105600	296.4688648
24148800	296.0013579
24192000	296.235366
24235200	295.6686668
24278400	295.9377921
24321600	295.4476952
24364800	296.2565153
24408000	295.8682084
24451200	295.9818379
24494400	295.2431703
24537600	296.1497497
24580800	295.3460833
24624000	295.5381262
24667200	294.6953215
24710400	294.0588262
24753600	293.6848749
24796800	294.7331001
24840000	294.3701127
24883200	294.8135452
24926400	294.4030208
24969600	295.636063
25012800	294.9922858
25056000	296.2149917
25099200	295.8223541
25142400	296.6775251
25185600	296.252548
25228800	296.4361364
25272000	295.9676874
25315200	296.4618089
25358400	295.7418338
25401600	296.660759
25444800	296.2161387
25488000	296.5667534
25531200	296.1790564
25574400	296.7631151
25617600	296.1925623
25660800	296.7164513
25704000	296.369344
25747200	297.3685779
25790400	296.9091668
25833600	296.9613288
25876800	296.6662072
25920000	297.1993539
25963200	296.7678125
26006400	297.2547788
26049600	296.7430661
26092800	296.6050168
26136000	295.8187082
26179200	296.3927289
26222400	295.6368005
26265600	295.9801772
26308800	295.8302459
26352000	296.2185375
26395200	295.4663117
26438400	296.1676226
26481600	295.5320208
26524800	295.8227934
26568000	295.1495405
26611200	295.6446089
26654400	295.2065625
26697600	295.6767264
26740800	295.0130532
26784000	295.3665799
26827200	294.7265833
26870400	295.539545
26913600	295.0613409
26956800	295.7792672
27000000	295.4166666
27043200	296.5646464
27086400	295.6836256
27129600	296.4077804
27172800	295.6787708
27216000	296.6581994
27259200	296.0050961
27302400	297.4620526
27345600	296.5413922
27388800	297.4544441
27432000	296.5634502
27475200	297.2601603
27518400	296.6573334
27561600	297.4079923
27604800	296.8106852
27648000	297.3082638
27691200	296.8423334
27734400	297.301742
27777600	296.9311366
27820800	297.4495828
27864000	296.8854032
27907200	297.0086273
27950400	296.3800086
27993600	296.4165902
28036800	295.5167016
28080000	296.0172231
28123200	295.1956559
28166400	296.0591971
28209600	295.4055418
28252800	296.3111516
28296000	295.9675267
28339200	296.4829376
28382400	296.001125
28425600	296.2129042
28468800	295.1921052
28512000	295.5804483
28555200	295.3045417
28598400	296.0071578
28641600	295.3978281
28684800	295.4625131
28728000	294.7665833
28771200	294.885197
28814400	293.6755219
28857600	293.9614744
28900800	293.2607916
28944000	294.2278009
28987200	293.6243943
29030400	294.824265
29073600	294.1774912
29116800	295.3063231
29160000	294.542523
29203200	295.6393157
29246400	295.0966959
29289600	295.7423846
29332800	295.6796153
29376000	295.8036296
29419200	294.7359761
29462400	295.0556752
29505600	294.5018798
29548800	295.4873931
29592000	295.1270001
29635200	295.9034961
29678400	295.5739766
29721600	294.8216788
29764800	294.0286043
29808000	294.2668577
29851200	293.656558
29894400	293.9466424
29937600	293.3253231
