#1
double measurement(731, 2)
#Time	Qflow
0	-4467.420633
43200	-5785.930151
86400	-5646.66369
129600	-5427.079353
172800	-3045.43576
216000	-4166.479862
259200	-1842.118869
302400	-2414.000547
345600	-2042.04228
388800	-3756.954066
432000	-1828.135593
475200	-3321.559381
518400	-3323.300249
561600	-5892.735402
604800	-5250.672785
648000	-4695.297263
691200	-5513.729966
734400	-6889.219284
777600	-6883.583311
820800	-7348.076535
864000	-6696.43873
907200	-8481.984351
950400	-8129.900802
993600	-9557.616993
1036800	-8304.47826
1080000	-8804.208762
1123200	-8045.166663
1166400	-7445.172818
1209600	-5637.88459
1252800	-6716.905691
1296000	-5313.812283
1339200	-5924.239134
1382400	-6906.237801
1425600	-8261.818835
1468800	-7387.833884
1512000	-8332.476487
1555200	-7014.32195
1598400	-9240.090261
1641600	-6102.448325
1684800	-9036.172835
1728000	-6967.428044
1771200	-4743.45149
1814400	-5430.85757
1857600	-8180.878214
1900800	-7565.220777
1944000	-7535.050913
1987200	-7868.262881
2030400	-8112.326808
2073600	-7830.250016
2116800	-8696.580077
2160000	-8722.762348
2203200	-10297.73344
2246400	-12706.86071
2289600	-13240.13891
2332800	-10981.1657
2376000	-11149.22732
2419200	-10010.83015
2462400	-10759.78224
2505600	-10104.85902
2548800	-9438.306186
2592000	-9152.430567
2635200	-10095.78956
2678400	-8264.904149
2721600	-9488.688069
2764800	-8699.166744
2808000	-10853.53432
2851200	-9970.457255
2894400	-10870.74572
2937600	-9811.412848
2980800	-10090.04589
3024000	-10047.46098
3067200	-10591.13133
3110400	-10677.05869
3153600	-11372.21414
3196800	-11387.93
3240000	-12193.53542
3283200	-12129.58143
3326400	-13194.40519
3369600	-14714.28457
3412800	-15634.24943
3456000	-15363.65727
3499200	-15300.21002
3542400	-14870.31153
3585600	-14573.76064
3628800	-15103.54127
3672000	-14249.24478
3715200	-12487.94801
3758400	-11778.81272
3801600	-11705.21957
3844800	-12006.66291
3888000	-12796.373
3931200	-14062.6449
3974400	-13335.03786
4017600	-5415.862327
4060800	-1317.394096
4104000	-1352.063595
4147200	-1368.492438
4190400	-1141.359067
4233600	-4923.811071
4276800	-6861.105442
4320000	-11463.88869
4363200	-3195.045892
4406400	-16849.25612
4449600	-9311.645906
4492800	-10450.17445
4536000	-21277.42155
4579200	-19778.62489
4622400	-18314.26
4665600	-18729.49564
4708800	-22517.65101
4752000	-18925.77346
4795200	-12762.63758
4838400	-9547.29787
4881600	-8241.136216
4924800	-8129.843614
4968000	-8885.480959
5011200	-8946.584567
5054400	-8901.77279
5097600	-8788.689343
5140800	-8908.546265
5184000	-8095.861749
5227200	-8276.821959
5270400	-8330.242623
5313600	-8922.37732
5356800	-8248.950937
5400000	-7906.745442
5443200	-9719.681756
5486400	-12223.01229
5529600	-10711.25915
5572800	-10325.28767
5616000	-8642.458017
5659200	-8034.703814
5702400	-8346.030493
5745600	-10111.14483
5788800	-8582.337854
5832000	-6002.322289
5875200	-5421.387018
5918400	-5721.561847
5961600	-6804.331195
6004800	-6650.945587
6048000	-7774.908477
6091200	-9281.789163
6134400	-8841.042916
6177600	-8356.331835
6220800	-7148.038107
6264000	-7311.978075
6307200	-7565.162887
6350400	-7660.873181
6393600	-7768.301663
6436800	-7393.13691
6480000	-7252.119932
6523200	-7993.464849
6566400	-8071.172166
6609600	-9259.971371
6652800	-9835.138728
6696000	-11095.07617
6739200	-10247.92786
6782400	-8232.864233
6825600	-8483.352683
6868800	-8916.342411
6912000	-7919.357385
6955200	-8933.02811
6998400	-9988.510077
7041600	-10272.31336
7084800	-8876.487368
7128000	-9932.624054
7171200	-11021.53891
7214400	-11304.56201
7257600	-11565.49306
7300800	-13376.64538
7344000	-13709.23605
7387200	-16056.11788
7430400	-14143.13483
7473600	-14414.26277
7516800	-14156.14916
7560000	-14608.69209
7603200	-15029.75739
7646400	-16443.00396
7689600	-16350.92264
7732800	-15768.54206
7776000	-15374.65638
7819200	-15208.21947
7862400	-15250.92066
7905600	-14108.25282
7948800	-14452.36359
7992000	-15607.34116
8035200	-16126.21042
8078400	-17343.24512
8121600	-16091.47729
8164800	-13749.21676
8208000	-12853.20896
8251200	-13584.03105
8294400	-14868.14354
8337600	-16898.49977
8380800	-15264.18912
8424000	-12987.40161
8467200	-11371.52198
8510400	-12338.33283
8553600	-11873.36201
8596800	-11132.8193
8640000	-11006.02713
8683200	-10704.4172
8726400	-9721.209512
8769600	-9546.246577
8812800	-9779.286778
8856000	-10494.21035
8899200	-10176.68978
8942400	-10393.80668
8985600	-11008.90005
9028800	-12855.45354
9072000	-12832.15107
9115200	-14328.46871
9158400	-13355.45236
9201600	-15710.17801
9244800	-13041.03767
9288000	-15620.34995
9331200	-12335.33956
9374400	-12844.30123
9417600	-10762.93722
9460800	-11119.40763
9504000	-10891.95193
9547200	-10084.01174
9590400	-9388.783273
9633600	-10683.3403
9676800	-8329.32676
9720000	-11414.50221
9763200	-9399.955103
9806400	-8544.844426
9849600	-7196.770259
9892800	-9620.476124
9936000	-8536.652487
9979200	-8364.998386
10022400	-7483.219326
10065600	-8153.834869
10108800	-8509.890807
10152000	-8350.868466
10195200	-8677.81432
10238400	-10122.08625
10281600	-8979.0066
10324800	-9190.365786
10368000	-8992.595999
10411200	-11043.84615
10454400	-7056.833784
10497600	-8275.142436
10540800	-8823.843093
10584000	-10418.95312
10627200	-10983.25859
10670400	-11381.97806
10713600	-11662.14632
10756800	-13918.51684
10800000	-12691.31522
10843200	-13664.5081
10886400	-11448.42268
10929600	-13207.20793
10972800	-11661.37036
11016000	-12582.80084
11059200	-10601.95477
11102400	-12464.58745
11145600	-10446.92711
11188800	-12080.16667
11232000	-12302.67442
11275200	-11769.28241
11318400	-9824.349392
11361600	-10214.98899
11404800	-10325.72226
11448000	-10943.31759
11491200	-10448.03344
11534400	-10803.62591
11577600	-11198.49468
11620800	-12912.36452
11664000	-12534.58599
11707200	-10508.17507
11750400	-7565.74513
11793600	-6986.107588
11836800	-8770.562684
11880000	-12503.44825
11923200	-10444.6494
11966400	-10741.60745
12009600	-7570.474371
12052800	-6600.052648
12096000	-5216.861493
12139200	-6870.514524
12182400	-9086.902607
12225600	-11660.74728
12268800	-9681.94721
12312000	-10050.87817
12355200	-8332.993005
12398400	-6452.540975
12441600	-5009.511591
12484800	-5990.790193
12528000	-4800.982908
12571200	-6478.580005
12614400	-6036.919059
12657600	-8230.18538
12700800	-7745.273468
12744000	-7125.857519
12787200	-6137.431313
12830400	-6502.322407
12873600	-5921.827936
12916800	-6113.563476
12960000	-5837.229748
13003200	-5929.756352
13046400	-6551.939115
13089600	-7797.137212
13132800	-6835.542429
13176000	-7616.546896
13219200	-8236.501066
13262400	-9981.455631
13305600	-9325.61194
13348800	-10906.93151
13392000	-9395.532766
13435200	-8084.595063
13478400	-5382.869084
13521600	-4505.687455
13564800	-5271.132305
13608000	-6060.356838
13651200	-6091.419645
13694400	-7329.474382
13737600	-7164.789701
13780800	-8399.281192
13824000	-10079.7829
13867200	-10726.23349
13910400	-8462.66949
13953600	-8430.598605
13996800	-7118.906491
14040000	-10300.38605
14083200	-7785.745466
14126400	-9762.238522
14169600	-8022.337451
14212800	-7928.502502
14256000	-7163.165464
14299200	-7925.360525
14342400	-6430.981579
14385600	-7396.831042
14428800	-4939.556847
14472000	-6012.33995
14515200	-4560.468535
14558400	-7361.945892
14601600	-6606.904575
14644800	-7659.233632
14688000	-7828.415124
14731200	-9136.624174
14774400	-7109.73918
14817600	-8548.503706
14860800	-5965.235991
14904000	-7882.017966
14947200	-5853.616708
14990400	-7978.239713
15033600	-7012.128372
15076800	-7393.194263
15120000	-5380.943823
15163200	-7474.826869
15206400	-6246.116406
15249600	-6545.312421
15292800	-5944.941142
15336000	-8348.616798
15379200	-8410.702433
15422400	-8065.459629
15465600	-6453.650688
15508800	-6514.630689
15552000	-3712.666517
15595200	-5849.475236
15638400	0
15681600	-7742.864782
15724800	-7898.319253
15768000	-8633.636543
15811200	-8045.081812
15854400	-9151.895824
15897600	-6375.463373
15940800	-7836.941835
15984000	-6575.953515
16027200	-6399.315557
16070400	-4364.256373
16113600	-6303.767502
16156800	-6152.111425
16200000	-6848.861677
16243200	-3800.818172
16286400	-5279.532897
16329600	-3976.958611
16372800	-6081.505495
16416000	-5921.749523
16459200	-7971.364378
16502400	-5231.140268
16545600	-6703.951807
16588800	-1741.218438
16632000	-2851.813993
16675200	-3540.382531
16718400	-5361.071212
16761600	-3024.766349
16804800	-4318.783779
16848000	-2507.429021
16891200	-4064.363915
