#1
double measurement(2921, 2)
#Time	TempODA
0	290.298385
10800	289.2115328
21600	288.0779087
32400	287.3220143
43200	286.8860397
54000	286.4995787
64800	286.5692149
75600	288.0007376
86400	288.7892441
97200	287.1557294
108000	284.4413802
118800	286.2377768
129600	288.9027056
140400	289.105009
151200	289.3065792
162000	293.5141146
172800	293.4126458
183600	291.1739045
194400	289.8211946
205200	289.4709707
216000	289.3873846
226800	288.7630548
237600	291.8501479
248400	295.4858652
259200	295.8390235
270000	293.6584905
280800	293.0127173
291600	294.1955228
302400	293.3852636
313200	292.3136946
324000	292.9795887
334800	297.2970446
345600	296.5521396
356400	293.1734345
367200	291.8071381
378000	291.3659005
388800	290.8514497
399600	288.9097024
410400	290.4049763
421200	295.3944348
432000	297.0257198
442800	295.1853722
453600	294.356485
464400	293.1404088
475200	291.1940802
486000	288.3921631
496800	288.4005885
507600	295.150845
518400	294.7968541
529200	291.894587
540000	289.428583
550800	288.0562027
561600	286.8153461
572400	285.5674589
583200	285.7311139
594000	289.9043329
604800	292.1207679
615600	290.7339663
626400	290.6092104
637200	290.6658828
648000	289.557146
658800	289.0981388
669600	286.9665731
680400	289.2158088
691200	288.4877979
702000	286.7398872
712800	285.6635473
723600	285.7883265
734400	285.7830044
745200	284.7647766
756000	285.0415175
766800	287.6898232
777600	287.4940022
788400	285.4928555
799200	284.2614719
810000	284.8571447
820800	285.159374
831600	285.2586063
842400	285.700833
853200	286.8357782
864000	287.3770067
874800	285.662395
885600	284.7331365
896400	283.1948369
907200	282.1028519
918000	281.4097994
928800	282.1716138
939600	283.9481826
950400	283.6566679
961200	283.0462462
972000	281.945845
982800	280.5814517
993600	279.8327194
1004400	279.4031685
1015200	280.664366
1026000	283.9868224
1036800	284.1059944
1047600	282.7095123
1058400	281.9092842
1069200	281.5953099
1080000	281.6288931
1090800	281.9563071
1101600	282.7162974
1112400	284.4854973
1123200	283.8016684
1134000	282.001207
1144800	282.7745008
1155600	283.255851
1166400	283.9966674
1177200	284.2320129
1188000	285.2091931
1198800	286.6223478
1209600	287.3597895
1220400	286.7541919
1231200	286.3576918
1242000	285.9632543
1252800	285.1320458
1263600	284.1479361
1274400	285.8887348
1285200	288.5231277
1296000	289.2791708
1306800	288.8934363
1317600	288.3618811
1328400	287.7069543
1339200	286.707929
1350000	285.959673
1360800	286.0572307
1371600	287.3274897
1382400	286.5705287
1393200	285.2421606
1404000	284.1156471
1414800	283.7592011
1425600	282.8811679
1436400	282.1671906
1447200	283.358958
1458000	287.725522
1468800	287.3404005
1479600	284.7338613
1490400	283.6988057
1501200	283.5369265
1512000	283.2131282
1522800	283.1539284
1533600	283.7586358
1544400	287.080417
1555200	288.7955906
1566000	285.4955726
1576800	282.3121642
1587600	282.5055901
1598400	280.3342295
1609200	279.6651332
1620000	281.846968
1630800	290.8542597
1641600	291.3311261
1652400	286.0913138
1663200	283.7781325
1674000	282.2012527
1684800	280.4945115
1695600	279.3181461
1706400	281.4728264
1717200	287.9867671
1728000	288.627553
1738800	285.7567906
1749600	281.9569615
1760400	281.3966957
1771200	277.9507381
1782000	283.15
1792800	283.15
1803600	281.8539282
1814400	281.3603386
1825200	280.6043417
1836000	281.6112489
1846800	284.704329
1857600	285.1961569
1868400	284.5854099
1879200	283.533405
1890000	285.6886936
1900800	286.3432601
1911600	285.3327731
1922400	285.6114846
1933200	285.0429377
1944000	284.8064277
1954800	283.4156761
1965600	282.3782747
1976400	282.3782747
1987200	285.1793887
1998000	283.1266934
2008800	282.9240759
2019600	284.072725
2030400	283.9725384
2041200	283.9215829
2052000	283.5628254
2062800	284.6457077
2073600	285.0964822
2084400	283.891059
2095200	282.7339837
2106000	282.8096059
2116800	282.245222
2127600	281.6521555
2138400	281.8363764
2149200	283.8758806
2160000	283.3650945
2170800	282.3405144
2181600	280.9735623
2192400	280.8181035
2203200	280.9807559
2214000	279.2555297
2224800	277.251401
2235600	277.1861919
2246400	277.0134309
2257200	276.7405289
2268000	276.5443836
2278800	276.5160515
2289600	276.342595
2300400	276.5451343
2311200	276.3378959
2322000	278.9175033
2332800	280.6892802
2343600	279.7407241
2354400	280.0376683
2365200	279.4611219
2376000	279.1136039
2386800	279.0867476
2397600	279.2737661
2408400	281.3011242
2419200	281.104776
2430000	280.6396701
2440800	280.6687975
2451600	280.0939895
2462400	279.6674877
2473200	279.1121587
2484000	279.4558565
2494800	280.9304096
2505600	280.7464467
2516400	280.3408478
2527200	281.3738773
2538000	281.1270261
2548800	281.3115634
2559600	281.1543095
2570400	281.2283835
2581200	283.3912623
2592000	282.7189418
2602800	280.3172148
2613600	280.7813673
2624400	281.5479937
2635200	281.4792128
2646000	281.2656621
2656800	280.5135934
2667600	283.7187439
2678400	284.2195462
2689200	281.7656648
2700000	281.1108759
2710800	282.1143194
2721600	282.9849024
2732400	281.8564657
2743200	281.7359464
2754000	283.6484948
2764800	283.6036027
2775600	282.73074
2786400	281.7090735
2797200	280.2966717
2808000	279.4921224
2818800	279.1483037
2829600	280.2821442
2840400	282.3739932
2851200	283.1382928
2862000	281.3459493
2872800	280.167119
2883600	279.6750368
2894400	279.953786
2905200	280.6723904
2916000	280.882214
2926800	282.5662862
2937600	282.4466919
2948400	280.7456318
2959200	281.0573127
2970000	281.9132689
2980800	281.7771306
2991600	280.7035681
3002400	280.7336707
3013200	280.8745212
3024000	281.4719797
3034800	280.7618841
3045600	280.5034284
3056400	280.5034284
3067200	280.5034284
3078000	280.5034284
3088800	280.5034284
3099600	281.1790013
3110400	281.1348438
3121200	280.4113668
3132000	279.6343544
3142800	278.9465409
3153600	279.2425157
3164400	279.3506763
3175200	279.1597862
3186000	279.3832846
3196800	279.6913204
3207600	279.0598141
3218400	279.0443267
3229200	278.7901513
3240000	278.3372381
3250800	278.1681219
3261600	278.1910309
3272400	278.465489
3283200	278.552674
3294000	278.6075889
3304800	278.1756861
3315600	277.6041939
3326400	276.6523564
3337200	276.0507836
3348000	275.8122851
3358800	275.930416
3369600	275.9347941
3380400	275.6905093
3391200	275.1313554
3402000	274.5354702
3412800	274.4216423
3423600	274.4781214
3434400	274.5858451
3445200	275.012484
3456000	275.2939088
3466800	275.1638666
3477600	275.1156566
3488400	274.9875344
3499200	274.8258329
3510000	274.6594955
3520800	273.9536012
3531600	273.6763341
3542400	273.949972
3553200	274.1785635
3564000	274.2749408
3574800	274.5542409
3585600	274.4115663
3596400	273.6592309
3607200	273.8983197
3618000	274.4462517
3628800	274.520096
3639600	274.1456118
3650400	274.1676734
3661200	274.4855004
3672000	274.7836179
3682800	275.1280874
3693600	275.7231315
3704400	276.4652407
3715200	277.5880972
3726000	277.0494557
3736800	277.1293541
3747600	277.3268917
3758400	277.47816
3769200	277.3447982
3780000	277.0972302
3790800	277.6868947
3801600	278.2752026
3812400	277.6909956
3823200	277.1669279
3834000	276.9508817
3844800	276.70727
3855600	276.7078935
3866400	276.2429268
3877200	277.2318338
3888000	277.0798471
3898800	275.840489
3909600	275.6012002
3920400	274.8834061
3931200	274.085352
3942000	274.0784237
3952800	273.9710199
3963600	275.3073099
3974400	275.5431751
3985200	274.6381542
3996000	273.9283407
4006800	272.0106216
4017600	274.15
4028400	274.15
4039200	274.15
4050000	274.15
4060800	274.15
4071600	274.15
4082400	274.15
4093200	274.15
4104000	274.15
4114800	274.15
4125600	274.15
4136400	274.15
4147200	274.15
4158000	274.15
4168800	274.15
4179600	274.15
4190400	274.15
4201200	274.15
4212000	274.15
4222800	274.15
4233600	274.15
4244400	274.15
4255200	274.15
4266000	274.15
4276800	274.15
4287600	274.15
4298400	274.15
4309200	274.15
4320000	274.15
4330800	274.15
4341600	274.15
4352400	274.15
4363200	274.15
4374000	274.15
4384800	274.15
4395600	274.15
4406400	274.15
4417200	274.15
4428000	274.15
4438800	274.15
4449600	274.15
4460400	274.15
4471200	274.15
4482000	271.9509208
4492800	275.3196096
4503600	272.0311327
4514400	270.2258925
4525200	268.731995
4536000	267.9667762
