#1
double measurement(1461, 6)
#Time	Office2	Office3	Office4	Office5	Office6
0	295.9844459	295.6551485	295.1388746	297.2637779	296.0509515
21600	295.3837845	295.6377923	294.9325039	297.308987	296.0563924
43200	294.6668104	295.3243987	294.6302621	297.265766	296.0565667
64800	295.1528213	295.7503708	294.6626065	297.3157037	296.0712309
86400	295.1624428	296.0423399	294.8159543	297.2987166	296.0707996
108000	294.2787971	295.1841407	294.3418981	297.3011674	296.095905
129600	294.184472	295.0160134	294.2635582	297.2821288	296.0663414
151200	295.4494292	295.6379108	295.2272721	298.3038104	297.4549903
172800	296.3794268	296.1542053	295.7931345	297.3542442	296.8235545
194400	295.3335906	295.8370611	295.1435024	296.274656	295.6085189
216000	295.0948907	295.6007042	294.8998724	297.2833097	295.5613932
237600	295.8817218	296.406133	295.838516	298.3668293	297.3734804
259200	296.3965345	296.8138771	296.5810067	297.6278074	297.0369549
280800	295.7441665	296.5598363	295.9467484	296.649469	296.1740765
302400	295.605161	296.4986601	295.7333097	296.2786995	295.9072834
324000	296.7123191	297.4170444	296.5277189	298.1866347	297.2797855
345600	296.9680176	297.8205646	296.4919162	297.6511154	297.1614969
367200	296.2021584	297.1530437	296.1773352	296.7639595	296.3481882
388800	295.7415005	296.7655652	295.835306	296.5441997	295.966278
410400	295.6202895	296.7238002	295.7563894	297.108999	296.1963894
432000	295.9026928	297.0518543	295.9814771	297.21769	296.6274167
453600	295.7667048	296.8394011	295.8853913	296.4542303	296.053871
475200	295.5680662	296.5659333	295.6942615	297.3498072	295.9548744
496800	295.5735591	296.8444008	295.697601	298.2258884	297.1777744
518400	296.1117363	297.2245679	296.1990605	297.7544447	297.2136229
540000	295.4809814	296.5989596	295.6685139	296.3375384	295.9180778
561600	295.0848818	296.1431201	295.2866324	296.9481104	295.6234222
583200	295.4547183	296.185902	295.1717249	297.3699994	295.688844
604800	296.0138958	296.0722728	295.4928674	297.1914756	296.1144681
626400	295.3141722	296.0529132	295.3063056	297.3089835	295.7381592
648000	295.1140242	296.0023633	295.1921831	297.2998108	295.7386896
