Time	JN mflow 1	JN mflow 3	JN mflow 5	JN mflow 6	JN mlow 7	JN mflow 8	JN mflow 9	JN mflow 10
0	0.26665356	0.256086315	0.262059768	0.272691244	0.252108472	0.269345508	0.267202837	0.264894084
21600	0.267691236	0.256815143	0.26294035	0.273696197	0.252572644	0.270213796	0.268120246	0.265727853
43200	0.268407407	0.25735716	0.263787922	0.274622552	0.25291882	0.270804769	0.268741029	0.26656971
64800	0.268628137	0.257639213	0.263905738	0.274682456	0.253317427	0.271017556	0.268959467	0.266707671
86400	0.268384525	0.257471809	0.263622167	0.274405125	0.253328372	0.270809828	0.268777817	0.266423921
108000	0.268904762	0.257654732	0.264200284	0.275079877	0.253550396	0.27127118	0.269276261	0.267003427
129600	0.268146212	0.257006303	0.263461995	0.274322082	0.252717483	0.270559555	0.268491899	0.266142875
151200	0.267626329	0.256738915	0.262919778	0.27382016	0.25245327	0.270262362	0.26802007	0.265652053
172800	0.26739215	0.256915459	0.262358696	0.273479227	0.252530676	0.27016087	0.267708213	0.265291184
194400	0.268658678	0.257869765	0.263899903	0.274997578	0.253768737	0.271304395	0.269071195	0.266732123
216000	0.269075955	0.258065917	0.264361151	0.275492743	0.253875181	0.271607502	0.269417786	0.267178705
237600	0.268046498	0.257198792	0.263262802	0.274310145	0.253007367	0.270685628	0.268406643	0.266090459
259200	0.266910331	0.256652184	0.26185916	0.272919261	0.252102824	0.269760439	0.267238595	0.264876659
280800	0.267237577	0.256829525	0.262187281	0.273424012	0.252292709	0.270007859	0.267647926	0.265162133
302400	0.267439328	0.256867537	0.262455523	0.273608895	0.252514262	0.270153855	0.267846265	0.265366812
324000	0.266813217	0.256354114	0.261888124	0.273001571	0.252120696	0.269703878	0.267184366	0.264849462
345600	0.268028482	0.257660753	0.262944243	0.273903934	0.253263336	0.270696114	0.268372315	0.265874246
367200	0.267941624	0.257367416	0.262877085	0.274051505	0.252894088	0.270612985	0.268295369	0.265736766
388800	0.267883774	0.257149209	0.262885666	0.274067319	0.253033358	0.270557771	0.268129804	0.265786879
410400	0.267674758	0.256998309	0.262891184	0.273951329	0.252685145	0.270340097	0.268212681	0.2656157
432000	0.266755233	0.256368058	0.261676951	0.2728536	0.251977616	0.269524501	0.266972051	0.264566122
453600	0.266992038	0.256471277	0.261935795	0.273070601	0.251916606	0.269650133	0.267268887	0.264854868
475200	0.267834723	0.257138335	0.263025613	0.27397487	0.252940317	0.270461762	0.268246587	0.265822883
496800	0.26773181	0.256898356	0.262898115	0.273920232	0.252710902	0.270281242	0.26804641	0.265681291
518400	0.266962775	0.256473048	0.261888446	0.272923616	0.252156394	0.269720691	0.267145516	0.264830433
540000	0.268415338	0.257611836	0.263551449	0.274654227	0.2535343	0.270975725	0.26880785	0.266353623
561600	0.269168115	0.2582042	0.264474053	0.275458364	0.254165339	0.271744899	0.269563081	0.267335626
