Time;Hall2Offset;Hall2Radiation
0;13.23928571;297.8722857
10800;12.92558469;298.1210135
21600;13.1641791;297.8611585
32400;12.91994282;297.6735168
43200;13.06410256;297.6425926
54000;12.82348754;297.6902847
64800;12.85957447;297.8185106
75600;12.98152097;298.2576759
86400;13.80071174;298.6374021
97200;13.83059328;298.6595783
108000;13.27142857;298.1583571
118800;13.25907473;297.9519217
129600;13.76961484;298.0691869
140400;13.5921875;298.2046094
151200;13.59431901;298.3599053
162000;13.99781341;299.1469388
172800;13.73279649;299.4298098
183600;13.76889535;299.2114826
194400;13.88677867;298.7513879
205200;13.38965768;298.2078296
216000;13.78993435;297.9149891
226800;13.54412837;297.7955872
237600;13.83091437;298.0982583
248400;14.01892285;299.3466521
259200;14.64488017;299.8229121
270000;14.30589949;299.4372542
280800;14.83770015;298.9395197
291600;14.62264151;298.4029753
302400;14.2943314;298.1178052
313200;14.27927273;297.9340727
324000;13.56790123;297.5771605
334800;13.61309091;297.5851273
345600;14.03270349;297.9284884
356400;13.37300435;296.422061
367200;12.80072727;296.6140727
378000;13.40566038;297.0617562
388800;13.11918605;297.1539971
399600;13.5203193;297.2629173
410400;13.05797101;297.4441304
421200;12.99127907;298.0715686
432000;13.54354136;298.83418
442800;13.87244898;298.7768222
453600;14.07418182;298.3878182
464400;13.98766328;297.8264151
475200;13.568;297.4378545
486000;13.65211063;297.1960699
496800;13.5065407;297.2688227
507600;14.12718023;298.3272529
518400;14.01886792;298.0162554
529200;13.38036364;296.2655636
540000;13.208;297.027907
550800;13.40566038;297.0490566
561600;13.48654545;297.0806909
572400;13.50472041;297.2215323
583200;13.30758017;296.6440962
594000;11.74891147;294.2733672
604800;12.49891383;295.4355177
615600;12.13963636;294.5686909
626400;12.45612763;295.8337563
637200;12.50836364;296.4040364
648000;12.74746009;296.6259797
658800;12.85506191;296.7484705
669600;13.00800582;296.8261281
680400;13.36891794;297.6325708
691200;13.7833698;298.031984
702000;13.25108853;297.7788099
712800;12.71023965;297.4624909
723600;12.54803493;297.35
734400;12.31831395;297.3710029
745200;12.15306122;297.45
756000;12.34640523;297.6614016
766800;11.90559187;296.4867466
777600;11.90981818;296.5795273
788400;11.04578488;295.4149709
799200;11.47161572;296.3821689
810000;11.91715116;296.6922965
820800;12.35094067;296.9598408
831600;12.29090909;297.1846182
842400;12.27285922;297.4539187
853200;12.80376539;298.1104634
864000;12.3701016;298.1370102
874800;12.56095791;297.2281567
885600;12.56136529;297.3865287
896400;13.03770848;297.3500725
907200;12.76995646;297.35
918000;13.06894049;297.3650943
928800;13.30217391;297.5502174
939600;13.06535948;298.35
950400;13.67173913;299.4247826
961200;13.39927536;298.7552899
972000;13.26361656;298.5423021
982800;13.2973169;298.3704496
993600;13.01527273;298.2392364
1004400;12.81277213;298.1734398
1015200;13.11521739;298.3942029
1026000;12.75382374;299.3181719
1036800;13.62481858;299.6171263
1047600;13.7933285;299.328913
1058400;13.87755102;298.9572833
1069200;13.53623188;298.7018841
1080000;13.82643428;298.6043936
1090800;13.76995646;298.6346154
1101600;14.02101449;298.7638406
1112400;14.35875091;299.2420116
1123200;14.54281567;299.3870827
1134000;14.14785142;299.0871449
1144800;14.31227306;298.8757081
1155600;13.72008702;298.85
1166400;13.97672727;298.85
1177200;13.95431472;298.85
1188000;14.28882438;298.8921626
1198800;14.35116805;299.3216654
1209600;14.58810888;299.1861748
1220400;13.88442211;298.4484207
1231200;13.99856836;298.55
1242000;14.06384505;298.5375269
1252800;14.16857143;298.4360814
1263600;13.91385499;298.2992462
1274400;13.55643422;298.6425953
1285200;14.15838733;298.9440245
