Time;PumpSpeed;PumpVolFlow;MixValve;ThrotValve;TempSup;Temp Ret;cp;mflow kg/s;deltaT;Qflow W
1857600;2547.362684;0.000194464;0.212323321;0.655274795;317.7417614;307.6774503;4.18;0.19446417;10.06431108;-8180.878214
1900800;2547.397422;0.000194421;0.20051566;0.655284346;314.7159903;305.4070072;4.18;0.19442096;9.308983073;-7565.220777
1944000;2547.373503;0.000194231;0.202370679;0.655270241;315.5210792;306.2401751;4.18;0.194231483;9.280904075;-7535.050913
1987200;2547.386644;0.000194455;0.207088135;0.655255989;317.0290243;307.3488426;4.18;0.194454981;9.680181658;-7868.262881
2030400;2547.376975;0.000195983;0.213976496;0.655251066;317.418859;307.5162187;4.18;0.195982888;9.9026403;-8112.326808
2073600;2547.429781;0.000195195;0.208625892;0.65525831;316.878959;307.2820527;4.18;0.195194731;9.596906342;-7830.250016
2116800;2547.377746;0.000197214;0.217630422;0.65525957;318.5988509;308.0492912;4.18;0.197214065;10.54955966;-8696.580077
2160000;2547.39975;0.000195792;0.217621564;0.655248457;319.2023827;308.5442195;4.18;0.195792204;10.65816314;-8722.762348
2203200;2547.409982;0.000203194;0.242977532;0.655233792;322.2435081;310.1192514;4.18;0.2031937;12.12425675;-10297.73344
2246400;2547.36171;0.000211985;0.284416067;0.655235584;326.7545811;312.4143213;4.18;0.21198492;14.34025985;-12706.86071
2289600;2547.42768;0.000215845;0.295010333;0.655222921;328.0991879;313.4243265;4.18;0.215845128;14.67486145;-13240.13891
2332800;2547.427273;0.000204823;0.268790049;0.655222587;324.9897431;312.1636615;4.18;0.204822736;12.82608162;-10981.1657
2376000;2547.400392;0.000211446;0.268513156;0.65522711;323.7141113;311.0996346;4.18;0.211445891;12.61447668;-11149.22732
2419200;2547.417067;0.000199002;0.247753296;0.655240449;322.4062489;310.3715466;4.18;0.199002467;12.03470228;-10010.83015
2462400;2547.387493;0.000207534;0.254727577;0.655237826;322.9483782;310.5450642;4.18;0.207534097;12.40331405;-10759.78224
2505600;2545.997136;0.000211262;0.234607244;0.655082352;321.7594052;310.3166132;4.18;0.211262283;11.44279209;-10104.85902
2548800;2547.397206;0.000200748;0.234821998;0.655223942;321.1736474;309.925891;4.18;0.200748302;11.24775637;-9438.306186
2592000;2547.386556;0.000201304;0.228242579;0.655267544;319.0489179;308.1719399;4.18;0.201303771;10.87697799;-9152.430567
2635200;2547.377943;0.000208052;0.239807321;0.655269122;321.1067754;309.497827;4.18;0.208051632;11.60894841;-10095.78956
2678400;2547.369664;0.000198421;0.213799361;0.655292634;317.1174478;307.1525069;4.18;0.198420625;9.964940857;-8264.904149
2721600;2547.436797;0.000203914;0.231444502;0.655276995;319.5927455;308.4604862;4.18;0.203913779;11.13225932;-9488.688069
2764800;2547.370023;0.000197256;0.221802705;0.655266348;318.5222656;307.9717874;4.18;0.197255547;10.5504783;-8699.166744
2808000;2547.364989;0.000210115;0.229530742;0.655291702;321.936995;309.5792877;4.18;0.21011497;12.35770735;-10853.53432
2851200;2547.40085;0.000208373;0.235994823;0.655272755;321.011898;309.564731;4.18;0.208372679;11.44716702;-9970.457255
2894400;2547.444759;0.000211324;0.258778498;0.655267838;322.353541;310.0470255;4.18;0.211323576;12.30651551;-10870.74572
2937600;2547.335219;0.000208392;0.236622204;0.655235454;320.7316125;309.4681046;4.18;0.208392268;11.2635079;-9811.412848
2980800;2547.345609;0.000209238;0.246901078;0.655252817;320.9974505;309.4609064;4.18;0.209238275;11.53654403;-10090.04589
3024000;2547.392912;0.000202448;0.244932577;0.655254186;321.3271605;309.4540064;4.18;0.20244821;11.87315415;-10047.46098
3067200;2547.361702;0.000206856;0.300151456;0.655200483;322.1202128;309.8712762;4.18;0.206855792;12.24893659;-10591.13133
3110400;2547.402457;0.000208092;0.255885777;0.655232981;322.1460983;309.8711704;4.18;0.208092485;12.27492792;-10677.05869
3153600;2547.388728;0.00021034;0.221431012;0.655222838;323.7888006;310.8544076;4.18;0.210340399;12.93439306;-11372.21414
3196800;2547.410108;0.00021087;0.218067401;0.655234103;324.0263177;311.1066064;4.18;0.210870438;12.91971125;-11387.93
3240000;2547.264982;0.0002144;0.215968129;0.655237242;324.9814079;311.3754875;4.18;0.214400322;13.60592048;-12193.53542
3283200;2547.371841;0.000207742;0.169182203;0.655261701;325.4009026;311.4325271;4.18;0.207741677;13.96837547;-12129.58143
3326400;2547.475158;0.000216877;0.173331841;0.655240006;326.6954381;312.1408762;4.18;0.216877449;14.55456197;-13194.40519
3369600;2547.340426;0.000221631;0.181399198;0.655239381;329.1730891;313.2901103;4.18;0.221631208;15.88297875;-14714.28457
3412800;2547.254152;0.000227557;0.179457059;0.655240217;330.6858123;314.2492781;4.18;0.227557161;16.43653417;-15634.24943
3456000;2547.208092;0.000228685;0.182884312;0.655241112;330.5006503;314.4282514;4.18;0.228684972;16.07239889;-15363.65727
3499200;2546.234657;0.000238949;0.292026886;0.655226969;330.5674729;315.248989;4.18;0.238949059;15.31848393;-15300.21002
3542400;2546.779061;0.000224529;0.27180097;0.655193256;331.8094224;315.9651624;4.18;0.224528681;15.84426;-14870.31153
3585600;2547.2;0.0002143;0.219938391;0.655194854;331.5747653;315.3053069;4.18;0.214300041;16.26945845;-14573.76064
3628800;2546.68231;0.00022501;0.281057797;0.655190364;331.5123827;315.4540434;4.18;0.225010028;16.05833931;-15103.54127
3672000;2546.739884;0.000221339;0.266487084;0.655185545;330.9027457;315.501445;4.18;0.221339114;15.40130063;-14249.24478
3715200;2547.289436;0.000201922;0.211772794;0.655205587;328.2178003;313.4222142;4.18;0.201921529;14.79558614;-12487.94801
3758400;2547.369675;0.000195447;0.195179471;0.655231431;327.0170036;312.599314;4.18;0.195447249;14.41768963;-11778.81272
3801600;2547.150507;0.000206384;0.244584041;0.65519899;326.5449349;312.9765557;4.18;0.20638366;13.56837919;-11705.21957
3844800;2547.154624;0.000202854;0.234351226;0.655211895;327.4475433;313.2875722;4.18;0.202854043;14.15997111;-12006.66291
3888000;2546.675109;0.000216132;0.278177301;0.655207547;328.065919;313.9017366;4.18;0.216132013;14.16418236;-12796.373
3931200;2546.699639;0.000218672;0.283418567;0.655187803;330.6061733;315.2211913;4.18;0.218672282;15.384982;-14062.6449
3974400;2547.401747;0.000196102;0.180347369;0.655197021;330.8656477;314.5975986;4.18;0.196102213;16.26804919;-13335.03786
4017600;2547.443642;0.000205764;0.083414783;0.655280224;310.6999277;304.403107;4.18;0.20576429;6.296820708;-5415.862327
4060800;2547.413718;0.000218111;-0.006722012;0.655436984;295.1623465;293.7173645;4.18;0.218110712;1.444981993;-1317.394096
4104000;2547.410108;0.000216025;-0.006731074;0.655480364;293.7482672;292.2509387;4.18;0.216024871;1.49732847;-1352.063595
4147200;2547.383394;0.000216727;-0.006729862;0.655498102;292.9759205;291.4653068;4.18;0.216726837;1.510613729;-1368.492438
4190400;2547.375;0.000212628;-0.006332715;0.65748591;291.3836705;290.0994942;4.18;0.212628453;1.284176244;-1141.359067
4233600;2547.373285;0.000201163;0.099968517;0.66714749;301.9071841;296.0515162;4.18;0.201163256;5.855667957;-4923.811071
4276800;2535.828114;0.000215323;0.140089343;0.664243967;305.627276;298.0042608;4.18;0.215323298;7.623015242;-6861.105442
4320000;2541.570381;0.000206582;0.215048814;0.665528683;324.0509531;310.7750733;4.18;0.206581947;13.27587983;-11463.88869
4363200;2538.07303;0.000217281;0.021982204;0.665565323;295.1855749;291.6677151;4.18;0.217281274;3.517859733;-3195.045892
4406400;2547.359307;0.000210317;0.190091578;0.667144522;333.3812636;314.2153679;4.18;0.210317461;19.16589569;-16849.25612
4449600;2547.320824;0.000205175;0.128868868;0.666735444;318.3740441;307.5166666;4.18;0.205175374;10.85737748;-9311.645906
4492800;2547.147695;0.000208573;0.194973527;0.667022496;314.8282421;302.8418588;4.18;0.208573485;11.9863833;-10450.17445
4536000;2544.745677;0.000270413;0.552588111;0.666819559;338.3574928;319.5333574;4.18;0.270413069;18.82413545;-21277.42155
4579200;2545.652988;0.000259359;0.277459167;0.666235627;336.4583513;318.2144349;4.18;0.259359249;18.24391637;-19778.62489
4622400;2546.940922;0.00023497;0.192923151;0.665939293;335.1722623;316.5256486;4.18;0.23497038;18.64661374;-18314.26
4665600;2546.731461;0.000240101;0.19364649;0.665581553;335.7256659;317.0637506;4.18;0.240100789;18.66191528;-18729.49564
4708800;2546.252161;0.000254403;0.208748449;0.665569449;339.8989192;318.7238473;4.18;0.254402813;21.17507191;-22517.65101
4752000;2546.380403;0.000251161;0.196772783;0.665654867;336.0099424;317.9828532;4.18;0.251160737;18.02708915;-18925.77346
4795200;2547.221022;0.000227222;0.171608162;0.665638623;326.3786536;312.9412886;4.18;0.227221824;13.43736499;-12762.63758
4838400;2547.398415;0.000219801;0.160007444;0.665735311;319.2903459;308.8989194;4.18;0.219800675;10.39142647;-9547.29787
4881600;2547.362392;0.000215358;0.153953031;0.665689386;316.2790346;307.1242076;4.18;0.215357831;9.154827024;-8241.136216
4924800;2547.335286;0.000210814;0.153133583;0.665105891;316.3203514;307.0945094;4.18;0.210814219;9.225841947;-8129.843614
4968000;2547.363571;0.000211363;0.156886528;0.666141839;318.1059395;308.0487761;4.18;0.211363092;10.05716339;-8885.480959
5011200;2547.347292;0.00020355;0.159764629;0.665974405;319.4720937;308.9570759;4.18;0.203549939;10.51501784;-8946.584567
5054400;2547.315789;0.000209305;0.158314606;0.666102715;318.7453135;308.57062;4.18;0.209304654;10.17469354;-8901.77279
5097600;2547.387726;0.000210309;0.159373844;0.66562673;318.8487725;308.8512993;4.18;0.210308865;9.997473271;-8788.689343
5140800;2547.443403;0.000208504;0.15617969;0.665596821;318.9432228;308.7216654;4.18;0.208503565;10.22155744;-8908.546265
5184000;2547.403319;0.000200898;0.153618247;0.665576122;318.0392496;308.398485;4.18;0.200897866;9.640764591;-8095.861749
5227200;2547.409517;0.000203737;0.155725083;0.6655707;317.6051948;307.8862917;4.18;0.203737081;9.718903081;-8276.821959
5270400;2547.394661;0.000201659;0.153319948;0.665584197;318.2775414;308.3951332;4.18;0.20165945;9.882408238;-8330.242623
5313600;2547.356421;0.000207512;0.158211752;0.665577388;318.9832611;308.6968975;4.18;0.207511624;10.28636366;-8922.37732
5356800;2547.264069;0.000214386;0.172843901;0.665568774;317.3036075;308.0985571;4.18;0.214385924;9.205050426;-8248.950937
5400000;2547.354722;0.000210646;0.150706384;0.665580511;316.1342825;307.15447;4.18;0.21064648;8.979812515;-7906.745442
5443200;2547.362193;0.000207592;0.161585114;0.665615288;320.2963203;309.0950936;4.18;0.207591791;11.20122674;-9719.681756
5486400;2547.348955;0.000208724;0.169744406;0.665511065;326.5313987;312.5216657;4.18;0.208723865;14.00973304;-12223.01229
5529600;2547.380231;0.000204165;0.16750038;0.659767829;324.5550505;312.0038961;4.18;0.204164661;12.5511544;-10711.25915
5572800;2547.398121;0.000205744;0.164605898;0.664195164;323.2007948;311.1947977;4.18;0.205744219;12.00599719;-10325.28767
5616000;2547.380333;0.000198903;0.154628892;0.662040031;319.9079175;309.5130513;4.18;0.198903348;10.3948662;-8642.458017
5659200;2547.408796;0.000200132;0.153924008;0.666828773;317.9797766;308.3752345;4.18;0.200132178;9.604542194;-8034.703814
5702400;2547.433622;0.000198112;0.156280705;0.666779266;318.4508658;308.3724389;4.18;0.198112071;10.07842685;-8346.030493
5745600;2547.348485;0.000199836;0.173923233;0.665949748;322.7559884;310.651371;4.18;0.199835656;12.10461746;-10111.14483
5788800;2547.416306;0.000198152;0.159866438;0.665799444;320.0829726;309.7212842;4.18;0.198152154;10.36168839;-8582.337854
5832000;2547.42682;0.000198149;0.144712598;0.665773914;313.3812906;306.1344269;4.18;0.198149481;7.246863651;-6002.322289
5875200;2547.393218;0.000207011;0.144937506;0.665704215;310.4850649;304.2197691;4.18;0.207010582;6.265295859;-5421.387018
5918400;2547.396104;0.000200297;0.144158757;0.665781444;311.2021646;304.3683262;4.18;0.200296615;6.833838405;-5721.561847
5961600;2547.355443;0.000201114;0.148118897;0.665741763;314.0428623;305.9487745;4.18;0.201113513;8.094087801;-6804.331195
6004800;2547.385281;0.000197531;0.151544684;0.665710297;314.3577201;306.3025975;4.18;0.197530862;8.055122601;-6650.945587
6048000;2547.400433;0.000198413;0.159521377;0.665672618;318.2169553;308.8424244;4.18;0.198412696;9.374530908;-7774.908477
6091200;2547.385725;0.000200733;0.179391475;0.665605347;322.1174837;311.0554074;4.18;0.200732995;11.06207639;-9281.789163
6134400;2547.392496;0.000199635;0.16881493;0.665958308;321.4882395;310.8935066;4.18;0.199635239;10.5947329;-8841.042916
6177600;2547.369742;0.000199897;0.165755824;0.665216785;320.3499999;310.3492622;4.18;0.199897497;10.00073777;-8356.331835
6220800;2547.385288;0.000198511;0.155844688;0.665201235;317.0025127;308.388092;4.18;0.198510963;8.614420769;-7148.038107
6264000;2547.418234;0.000196274;0.159947368;0.665566755;317.5070189;308.5945731;4.18;0.196273514;8.912445792;-7311.978075
6307200;2547.344678;0.000197844;0.161596549;0.665550545;318.2176322;309.0697689;4.18;0.19784375;9.147863304;-7565.162887
6350400;2547.462373;0.0001975;0.175688922;0.665548123;318.3419681;309.0622287;4.18;0.197499595;9.279739416;-7660.873181
6393600;2547.378163;0.000201073;0.159207371;0.665557814;318.5687997;309.3261387;4.18;0.201072546;9.24266098;-7768.301663
6436800;2547.421852;0.000197399;0.161188903;0.665573904;317.9170767;308.9570912;4.18;0.197399097;8.959985474;-7393.13691
6480000;2547.390738;0.000200635;0.158328444;0.665567583;317.530246;308.8829231;4.18;0.200635148;8.647322938;-7252.119932
6523200;2547.36903;0.000201198;0.165076117;0.665592674;319.0279305;309.5232996;4.18;0.20119794;9.504630932;-7993.464849
6566400;2547.394794;0.000200349;0.164540471;0.665145384;319.7100868;310.0724155;4.18;0.20034948;9.637671299;-8071.172166
6609600;2547.403039;0.00019959;0.168074399;0.662438899;321.9557887;310.8565124;4.18;0.199589964;11.09927628;-9259.971371
6652800;2547.42227;0.000203925;0.171833357;0.656531586;323.2220897;311.6839842;4.18;0.203924639;11.53810549;-9835.138728
6696000;2547.404486;0.000211489;0.171317273;0.656519974;325.2044139;312.653763;4.18;0.211488986;12.55065094;-11095.07617
6739200;2547.41074;0.000211317;0.175186361;0.656494839;324.0912918;312.4894775;4.18;0.211316724;11.60181427;-10247.92786
6782400;2547.402466;0.000201736;0.166685975;0.656513557;320.0196882;310.2565264;4.18;0.201736361;9.76316184;-8232.864233
6825600;2547.399421;0.000202947;0.18012069;0.656550226;319.0531114;309.0528943;4.18;0.202946614;10.00021716;-8483.352683
6868800;2547.406363;0.000202961;0.167784116;0.656533323;320.9506507;310.440745;4.18;0.202960551;10.50990578;-8916.342411
6912000;2547.20481;0.000219044;0.166277433;0.65635916;318.9862973;310.3369537;4.18;0.21904357;8.64934363;-7919.357385
6955200;2546.872648;0.000237578;0.168808091;0.656001401;319.8356006;310.8403039;4.18;0.237578387;8.99529663;-8933.02811
6998400;2546.619392;0.000243809;0.171479883;0.655980009;321.5338639;311.7327784;4.18;0.24380929;9.801085567;-9988.510077
7041600;2546.65123;0.000243628;0.169897947;0.655968968;322.2958032;312.2087554;4.18;0.243628393;10.08704777;-10272.31336
7084800;2546.862617;0.000238913;0.1644914;0.65592744;320.1906363;311.3022054;4.18;0.238912989;8.888430824;-8876.487368
7128000;2546.836469;0.000239166;0.169883841;0.655774976;321.6144718;311.6790159;4.18;0.239166262;9.935455907;-9932.624054
7171200;2546.633864;0.000244251;0.173064967;0.655637238;324.2503618;313.4552101;4.18;0.244251483;10.79515164;-11021.53891
7214400;2546.79248;0.000239656;0.177012653;0.655581276;325.2494939;313.9648229;4.18;0.239656139;11.28467095;-11304.56201
7257600;2546.892598;0.000238228;0.179360003;0.655392785;325.6091437;313.994775;4.18;0.238227703;11.61436867;-11565.49306
7300800;2546.732507;0.000243643;0.187485813;0.655304919;329.0739067;315.9392858;4.18;0.243642691;13.13462097;-13376.64538
7344000;2546.436009;0.000246867;0.189785933;0.655334714;328.9862256;315.7008315;4.18;0.246866709;13.28539418;-13709.23605
7387200;2546.368307;0.000249819;0.20107347;0.655328364;333.4532561;318.0774239;4.18;0.249819096;15.37583228;-16056.11788
7430400;2546.45152;0.000250221;0.189224154;0.655193773;330.614327;317.0921852;4.18;0.250221091;13.52214182;-14143.13483
7473600;2546.368307;0.000249759;0.188736186;0.655220713;330.6350217;316.8281478;4.18;0.249758797;13.80687391;-14414.26277
7516800;2546.445409;0.000248935;0.190316109;0.655202703;330.1144975;316.5100143;4.18;0.24893548;13.60448317;-14156.14916
7560000;2546.565123;0.000245819;0.189897147;0.655206608;331.0034733;316.7861071;4.18;0.245819258;14.21736619;-14608.69209
7603200;2546.044139;0.000254201;0.219819984;0.655174423;331.6527496;317.5078873;4.18;0.25420083;14.14486229;-15029.75739
7646400;2546.340564;0.000251486;0.202771521;0.655134077;334.4064715;318.7645336;4.18;0.251486296;15.64193784;-16443.00396
7689600;2546.316208;0.000252311;0.199006213;0.655106438;335.1371201;319.6336468;4.18;0.252311459;15.50347336;-16350.92264
7732800;2546.371201;0.000250583;0.196468712;0.655117617;334.0204777;318.9660637;4.18;0.250582885;15.05441399;-15768.54206
7776000;2546.37961;0.000250382;0.195160848;0.65511612;333.5635213;318.8733552;4.18;0.250381612;14.69016609;-15374.65638
7819200;2546.12301;0.000257578;0.204863219;0.655134924;332.4539071;318.3287258;4.18;0.25757758;14.12518129;-15208.21947
7862400;2545.635802;0.000267897;0.217045482;0.655231345;329.6196756;316.0004624;4.18;0.267896945;13.61921321;-15250.92066
7905600;2546.320318;0.000253455;0.19112212;0.655151978;330.0560014;316.7392988;4.18;0.253454642;13.31670265;-14108.25282
7948800;2546.354525;0.000252348;0.193283859;0.655147187;330.4200074;316.7186613;4.18;0.252347704;13.70134616;-14452.36359
7992000;2545.388567;0.000267085;0.274133932;0.655146627;332.1651954;318.1853112;4.18;0.267084736;13.97988419;-15607.34116
8035200;2545.597685;0.000263527;0.244964385;0.655077427;334.2105644;319.5709117;4.18;0.26352709;14.63965272;-16126.21042
8078400;2545.071584;0.000274886;0.307206204;0.655074112;335.4186189;320.3246925;4.18;0.274885512;15.09392645;-17343.24512
8121600;2545.729378;0.000263748;0.249744229;0.65511378;332.9633864;318.3675108;4.18;0.263748187;14.59587557;-16091.47729
8164800;2546.097685;0.000255025;0.223964763;0.655139506;329.2645442;316.3666425;4.18;0.255024918;12.89790163;-13749.21676
8208000;2546.424023;0.000249739;0.185332489;0.655110026;328.2264834;315.9138926;4.18;0.249738698;12.31259074;-12853.20896
8251200;2546.430224;0.000249458;0.18683985;0.655122078;329.259183;316.231851;4.18;0.249457694;13.02733196;-13584.03105
8294400;2546.407381;0.000250422;0.194124459;0.655093603;331.9380608;317.7341534;4.18;0.250422087;14.2039074;-14868.14354
8337600;2546.310918;0.000253254;0.201650978;0.655096068;335.5434924;319.5804409;4.18;0.25325379;15.96305149;-16898.49977
8380800;2545.489162;0.000265013;0.27946518;0.655068789;332.9410404;319.1616331;4.18;0.26501284;13.77940739;-15264.18912
8424000;2546.184382;0.000251948;0.245970358;0.655094247;328.9987346;316.6667029;4.18;0.251948256;12.33203169;-12987.40161
8467200;2546.591468;0.000245802;0.210708557;0.655154654;324.5570138;313.4893348;4.18;0.245802196;11.06767898;-11371.52198
8510400;2546.546638;0.000244979;0.209019969;0.655155453;326.5107375;314.4617136;4.18;0.244978705;12.04902388;-12338.33283
8553600;2546.60376;0.000244878;0.213337538;0.655125885;325.8454447;314.2457339;4.18;0.244878279;11.59971083;-11873.36201
8596800;2546.678494;0.000243141;0.201479556;0.655134418;324.2382694;313.284323;4.18;0.243141037;10.95394646;-11132.8193
8640000;2546.718659;0.000241213;0.205795687;0.655144907;323.9443149;313.0285714;4.18;0.241213148;10.91574345;-11006.02713
8683200;2546.710701;0.00024197;0.189047325;0.655151565;323.3837021;312.8002949;4.18;0.241969842;10.58340716;-10704.4172
8726400;2546.694645;0.000241076;0.219008093;0.655119908;322.3191028;312.6721418;4.18;0.241075734;9.646961013;-9721.209512
8769600;2546.70767;0.000242302;0.200442876;0.655132026;321.1998553;311.7744573;4.18;0.242301814;9.425398069;-9546.246577
