Time	JN mflow 1	JN mflow 3	JN mflow 5	JN mflow 6	JN mlow 7	JN mflow 8	JN mflow 9	JN mflow 10
0	0.268304789	0.257160179	0.263640009	0.274519226	0.252838527	0.270662414	0.268655327	0.266446096
10800	0.268510026	0.25755414	0.263935834	0.274725879	0.252999056	0.270946921	0.26882661	0.266693324
21600	0.268639812	0.257627562	0.263981154	0.274742049	0.25313828	0.271049234	0.269003298	0.26678139
32400	0.268616455	0.257650872	0.263830269	0.274622819	0.2534967	0.270985856	0.268915606	0.266633899
43200	0.268354108	0.257400614	0.26357153	0.274435552	0.25334609	0.270789039	0.268781479	0.266433428
54000	0.268414899	0.257542904	0.263672805	0.274374675	0.253310654	0.270830617	0.268774155	0.266414427
64800	0.269013456	0.257821294	0.264291313	0.275187441	0.253579792	0.271370869	0.269353163	0.267090888
75600	0.268795836	0.257487816	0.264109061	0.274972084	0.253520937	0.27117128	0.269199196	0.26691578
86400	0.26823026	0.25702766	0.263504965	0.274305201	0.252876123	0.270559574	0.268568794	0.266236407
97200	0.268054131	0.256982906	0.263414918	0.274340591	0.252543546	0.270559533	0.268407523	0.266040404
108000	0.2680951	0.257039585	0.263478639	0.274289162	0.252683575	0.270582126	0.268418599	0.266106686
118800	0.267156877	0.256437591	0.2623597	0.273349794	0.252222464	0.269941903	0.267620673	0.265196761
129600	0.267080552	0.256609579	0.262030237	0.273179245	0.252311079	0.269857281	0.267327528	0.264962506
140400	0.267702846	0.257220453	0.262686204	0.273778341	0.252749638	0.270463579	0.268087795	0.26561891
151200	0.268465697	0.257724848	0.263677333	0.274778263	0.253615235	0.27112688	0.268892285	0.266533818
162000	0.2688511	0.258014262	0.264121827	0.275216099	0.253921682	0.271481267	0.269249456	0.26692971
172800	0.26907048	0.258061791	0.26434154	0.275400193	0.254020517	0.271635507	0.269415942	0.267119082
183600	0.269081455	0.258070061	0.264380848	0.275585697	0.253729212	0.271579394	0.269419636	0.267238545
194400	0.268703329	0.257613845	0.263986252	0.275056681	0.253447419	0.271217077	0.2689959	0.266797154
205200	0.26738776	0.256782535	0.262537252	0.273561442	0.252566038	0.270152637	0.267815675	0.265381713
216000	0.26674825	0.256506155	0.261701907	0.272810282	0.251967415	0.269625875	0.2670881	0.264756457
226800	0.267072411	0.256798214	0.262016413	0.27302824	0.252238233	0.269895004	0.26738909	0.264996862
237600	0.267306221	0.2569252	0.262283951	0.273452675	0.252528928	0.270076011	0.26772549	0.265194626
248400	0.267169082	0.256734058	0.262090821	0.273395411	0.252057005	0.269939855	0.267570531	0.26512971
259200	0.267343244	0.256771332	0.262329708	0.273566111	0.252331641	0.270066957	0.267742809	0.265272178
270000	0.267535412	0.256963742	0.262581339	0.27365168	0.252696882	0.270240754	0.267949722	0.265461445
280800	0.267308231	0.256693459	0.262485397	0.273467294	0.252575187	0.270097755	0.267744629	0.265402124
291600	0.266317126	0.25601403	0.26128955	0.272534833	0.251665215	0.269309144	0.266622883	0.264295597
302400	0.268925229	0.258469609	0.263835385	0.274690804	0.25417789	0.271452812	0.269319092	0.266754703
313200	0.267130435	0.256850725	0.262053102	0.273117065	0.252348781	0.269939416	0.267425537	0.264992512
324000	0.267817852	0.257276488	0.262663522	0.273838054	0.252710482	0.270480271	0.268103607	0.265532898
334800	0.268065217	0.257458213	0.263090338	0.274264493	0.253077295	0.270745411	0.268486715	0.265940338
345600	0.26826536	0.25755104	0.263288099	0.274415578	0.253521287	0.270935656	0.268554669	0.266124335
356400	0.267503017	0.25674825	0.262483816	0.273719565	0.252546135	0.270180435	0.267705556	0.265450157
367200	0.268164737	0.257399662	0.263424264	0.274417572	0.253059136	0.270727492	0.26874294	0.266070912
378000	0.267183358	0.256595791	0.262356555	0.273484409	0.252310612	0.269952139	0.267681653	0.265159168
388800	0.266481401	0.256111111	0.261371014	0.272571739	0.251673677	0.269337201	0.266671985	0.264285749
399600	0.267030061	0.256625939	0.261984	0.273136485	0.252282219	0.269712209	0.267272771	0.264847515
410400	0.266856247	0.256353111	0.261796913	0.272901833	0.251903763	0.269506995	0.267045104	0.264735408
421200	0.267127927	0.256589614	0.262074879	0.273239614	0.251929469	0.269793478	0.267492995	0.264974415
432000	0.267501088	0.256885182	0.262680686	0.27365023	0.252655064	0.270192893	0.267926033	0.265464588
442800	0.268168116	0.257391304	0.26337029	0.274299275	0.253225362	0.270730435	0.268566908	0.266180918
453600	0.268440416	0.257479575	0.263685763	0.274667875	0.253367658	0.270898235	0.268760454	0.266439932
464400	0.267023205	0.256317138	0.262110467	0.273172589	0.252054146	0.269664249	0.267332366	0.264922649
475200	0.266645185	0.25618127	0.261578808	0.272576635	0.251923968	0.269474053	0.266780835	0.264567946
486000	0.267281288	0.256765674	0.262198983	0.273271605	0.252389494	0.269968046	0.267511256	0.265093682
496800	0.26816256	0.257439855	0.263255556	0.274344444	0.253324638	0.270738406	0.268541546	0.266015942
507600	0.268668116	0.257783816	0.263847343	0.27496401	0.253743961	0.271213043	0.269074155	0.266691304
518400	0.269021513	0.258153735	0.264320522	0.27537926	0.25408992	0.27160329	0.269404693	0.267165095
529200	0.269314293	0.258254519	0.264627139	0.275537238	0.25424054	0.271885997	0.269720897	0.267505664
540000	0.269364076	0.258190027	0.264646333	0.275639313	0.253966352	0.271796175	0.269729605	0.267474946
550800	0.268257543	0.257296645	0.263593049	0.274393917	0.253225441	0.27086266	0.268800869	0.266365436
561600	0.267121804	0.256440907	0.262362277	0.273188857	0.252208876	0.269911481	0.267611915	0.265193439
572400	0.267063135	0.256426222	0.262289308	0.273160135	0.252259797	0.269814465	0.267465167	0.265149734
583200	0.267267102	0.256495528	0.26245081	0.273326807	0.25256877	0.269869712	0.267632826	0.265257433
594000	0.267281046	0.256400387	0.262471072	0.273277899	0.252183975	0.269759622	0.267694021	0.265215444
604800	0.267406817	0.256467489	0.262563693	0.273292241	0.252184433	0.269902586	0.267703167	0.265327049
615600	0.267657495	0.256752836	0.262891383	0.27377818	0.252556763	0.270201691	0.267996377	0.265657736
626400	0.268553939	0.257423758	0.263730424	0.274632485	0.253230061	0.271060606	0.26874497	0.266530182
637200	0.268291787	0.257319324	0.263600483	0.274484783	0.253183816	0.270931401	0.268670048	0.266291335
648000	0.268125242	0.257409884	0.263323401	0.274269622	0.253441376	0.270768653	0.268571463	0.266210182
658800	0.268564177	0.257619531	0.26384554	0.274719604	0.25353928	0.271081702	0.268968576	0.266488518
669600	0.268978292	0.257900627	0.264359141	0.275351423	0.253764592	0.27151206	0.269410275	0.267176315
680400	0.269018411	0.257826793	0.264399225	0.275318314	0.253701308	0.271471172	0.269434593	0.267191376
691200	0.269084783	0.257783575	0.26448599	0.275442754	0.253557246	0.271630193	0.269570531	0.267282609
702000	0.269459971	0.258200631	0.26495148	0.275856138	0.254128336	0.271946628	0.269929888	0.267756672
712800	0.269767391	0.258438164	0.265247101	0.276170048	0.254424638	0.272281643	0.270359903	0.268192029
723600	0.269512783	0.258274723	0.264785094	0.275871925	0.254230342	0.272029185	0.269904245	0.267701881
734400	0.269010152	0.258036016	0.26445371	0.275492144	0.254040367	0.271671263	0.269470489	0.26724438
745200	0.267523706	0.256477262	0.262879294	0.273626754	0.25239792	0.270001693	0.267949202	0.265651438
756000	0.260890341	0.249940934	0.256450012	0.267361414	0.246183007	0.263310821	0.261547238	0.259301864
766800	0.258510031	0.248335992	0.254266377	0.266313754	0.24428934	0.261582789	0.25938897	0.257023447
777600	0.261958544	0.251454808	0.257277898	0.268403953	0.24721451	0.264551458	0.262390215	0.260061943
788400	0.268779632	0.257454765	0.264146831	0.275151669	0.253277939	0.271317852	0.269173198	0.266944364
799200	0.268547343	0.257192271	0.263982609	0.274915217	0.252986232	0.270989855	0.268887198	0.266741546
810000	0.267817765	0.256651219	0.26326937	0.274141443	0.252449433	0.270451364	0.268247647	0.266089549
820800	0.267206672	0.256068165	0.262577713	0.273295383	0.251754411	0.269785593	0.267575054	0.265352899
831600	0.255606936	0.245028661	0.251085563	0.261398409	0.24094577	0.257989636	0.256171849	0.253922447
842400	0.253900508	0.243751392	0.24948826	0.261207698	0.239880174	0.256915033	0.25460978	0.252291455
853200	0.25713097	0.246971298	0.252347805	0.263625422	0.242682103	0.25987289	0.257543657	0.255273517
864000	0.267930244	0.256566015	0.263248612	0.27368839	0.252389573	0.270283128	0.268239199	0.265961139
874800	0.26817694	0.256729514	0.263748368	0.274132947	0.252614938	0.270528644	0.268610104	0.266365241
885600	0.26837699	0.257022914	0.264012783	0.274471298	0.252801737	0.270863	0.268946696	0.266677762
896400	0.268230118	0.256773991	0.263784627	0.274367174	0.252634276	0.270686004	0.268662074	0.266443075
907200	0.268299807	0.256944766	0.26361288	0.274203329	0.252964303	0.270778582	0.268488905	0.266388085
918000	0.268386715	0.257268841	0.263720531	0.274468841	0.253124396	0.270964734	0.268697826	0.266577295
928800	0.269191582	0.257982583	0.264484035	0.275351717	0.25379076	0.271648766	0.269424045	0.26727552
939600	0.269757839	0.258506512	0.265127834	0.276043174	0.254430535	0.272204293	0.270169802	0.267986011
950400	0.270233092	0.258670773	0.26560628	0.276455556	0.254632342	0.272630167	0.270735557	0.268469565
961200	0.270503983	0.258869177	0.265837799	0.27672894	0.254857591	0.272771663	0.27097176	0.26874825
972000	0.270512913	0.258724354	0.265896452	0.276795559	0.254846005	0.272828385	0.271039102	0.268909727
982800	0.26988059	0.258454194	0.265167513	0.276326807	0.254311337	0.27228789	0.270264443	0.268125212
993600	0.269655081	0.25821482	0.264978518	0.276009896	0.254124789	0.272053826	0.269828385	0.267764181
1004400	0.269869513	0.258448866	0.265182718	0.276213613	0.254434226	0.272268646	0.270319092	0.268072841
1015200	0.270141649	0.25857723	0.2655168	0.276433889	0.254559343	0.272447667	0.270502296	0.26835678
1026000	0.270013527	0.25850314	0.265569324	0.276378502	0.254456039	0.272541304	0.270574879	0.26838913
1036800	0.269962802	0.258380918	0.265484058	0.276315459	0.254450242	0.27237971	0.270465459	0.268386473
1047600	0.269864734	0.258241546	0.265300242	0.276188647	0.254314734	0.272216908	0.270331158	0.268243237
1058400	0.269796524	0.258194545	0.265286266	0.276247888	0.254256819	0.272254646	0.270231958	0.268165822
1069200	0.269329224	0.257723229	0.26476964	0.275710176	0.253633309	0.271730723	0.269560793	0.267518733
1080000	0.268650989	0.257134105	0.264106126	0.27493343	0.253124699	0.271135311	0.268927159	0.266762422
1090800	0.268818094	0.257239719	0.264390179	0.274971214	0.253234398	0.271203677	0.269094823	0.26702419
1101600	0.268758213	0.257256522	0.26443744	0.275099275	0.253182741	0.27128088	0.269270486	0.267178744
1112400	0.268913893	0.25738905	0.264545345	0.275368307	0.253313314	0.27145562	0.269335022	0.267323444
1123200	0.268790911	0.257278463	0.264447667	0.275281809	0.253259555	0.271374456	0.269252298	0.267242204
1134000	0.268794111	0.257296886	0.264434226	0.275218682	0.253305093	0.271383056	0.269285783	0.267238475
