Time;PumpSpeed;PumpVolFlow;MixValve;ThrotValve;TempSup;TempRet;Hall2Offset;Hall2Radiation;cp;mflow;deltaT;Qflow
399600;2547.455007;0.000194747;0.123124124;0.655297805;303.3834543;301.0148767;13.87244898;298.7768222;4.18;0.194746812;2.368577589;-1928.120864
410400;2547.380608;0.000195168;0.112066005;0.655317985;301.2618668;299.6455139;14.07418182;298.3878182;4.18;0.19516803;1.616352846;-1318.624477
421200;2547.326103;0.000198622;0.113546996;0.655350988;300.2799348;298.5989516;13.98766328;297.8264151;4.18;0.198622156;1.680983272;-1395.620578
432000;2547.363307;0.000199561;0.136246191;0.655360683;301.3788615;298.7891587;13.568;297.4378545;4.18;0.199560871;2.589702761;-2160.237959
442800;2547.391462;0.000196696;0.143955181;0.65537308;303.7142548;299.8676557;13.65211063;297.1960699;4.18;0.196695607;3.846599134;-3162.626261
453600;2547.365482;0.000195431;0.14880227;0.655343062;306.2200508;301.2501453;13.5065407;297.2688227;4.18;0.195431469;4.969905574;-4059.933459
464400;2547.414616;0.000195992;0.150884261;0.655327674;307.4263386;302.6924022;14.12718023;298.3272529;4.18;0.195992118;4.733936342;-3878.263398
475200;2547.462373;0.00019557;0.143154357;0.655321601;306.5784371;302.4633142;14.01886792;298.0162554;4.18;0.195570024;4.115122874;-3364.041764
486000;2547.385507;0.000194525;0.145194736;0.655395275;305.4436232;301.1510149;13.38036364;296.2655636;4.18;0.194524956;4.292608376;-3490.381332
496800;2547.402457;0.000194525;0.146990743;0.655375426;304.3648121;300.6281791;13.208;297.027907;4.18;0.194524724;3.73663302;-3038.306175
507600;2547.382055;0.000194485;0.145170631;0.655378049;304.6889291;300.5050654;13.40566038;297.0490566;4.18;0.194484641;4.183863721;-3401.254429
518400;2547.389009;0.000194324;0.158355466;0.655377605;307.3246927;301.7211498;13.48654545;297.0806909;4.18;0.19432393;5.603542929;-4551.612388
529200;2547.366715;0.000194204;0.174357851;0.65534544;310.1252881;303.3521614;13.50472041;297.2215323;4.18;0.194204288;6.7731267;-5498.247624
540000;2547.42598;0.000194404;0.185811063;0.655367948;312.3097969;304.5349784;13.30758017;296.6440962;4.18;0.194404125;7.774818473;-6317.889352
550800;2547.289949;0.000194545;0.192038459;0.655470297;313.116522;304.2526753;11.74891147;294.2733672;4.18;0.194544867;8.863846693;-7208.05836
561600;2547.493497;0.000194465;0.181394213;0.655415695;312.0072254;304.3575866;12.49891383;295.4355177;4.18;0.194464512;7.649638817;-6218.098102
572400;2547.335025;0.000194404;0.173390644;0.655456784;310.2895938;303.1444888;12.13963636;294.5686909;4.18;0.194404154;7.145104994;-5806.179232
583200;2547.392625;0.000194444;0.166257058;0.655430301;308.395152;302.4541245;12.45612763;295.8337563;4.18;0.194444441;5.941027465;-4828.735019
594000;2547.435601;0.000194726;0.149128371;0.655392789;306.8816209;301.7856729;12.50836364;296.4040364;4.18;0.194725837;5.09594795;-4147.867209
604800;2547.335503;0.000194585;0.156150824;0.655399671;306.9581708;301.6450108;12.74746009;296.6259797;4.18;0.194585037;5.313160023;-4321.540824
615600;2547.366594;0.000194746;0.156818999;0.655363171;307.7058207;302.1505785;12.85506191;296.7484705;4.18;0.194745719;5.555242263;-4522.173323
626400;2547.436139;0.000194545;0.163094805;0.655376673;308.6366473;302.5433238;13.00800582;296.8261281;4.18;0.194545231;6.093323533;-4955.085012
637200;2547.336949;0.000194866;0.168401402;0.655345885;309.6503616;303.5321404;13.36891794;297.6325708;4.18;0.19486623;6.118221251;-4983.541076
648000;2547.312046;0.000194707;0.164675476;0.655329995;310.1575527;304.1001814;13.7833698;298.031984;4.18;0.194706686;6.057371243;-4929.936646
658800;2547.364229;0.000194243;0.171144571;0.655319174;310.7002174;304.2283336;13.25108853;297.7788099;4.18;0.194243153;6.471883725;-5254.75784
669600;2547.37789;0.000194585;0.17614161;0.655328541;311.5007227;304.4535403;12.71023965;297.4624909;4.18;0.194584936;7.047182389;-5731.931728
680400;2547.374909;0.000194545;0.178618857;0.655343034;312.1982959;304.6518128;12.54803493;297.35;4.18;0.194545158;7.546483115;-6136.790723
691200;2547.407086;0.000194424;0.191911686;0.655353691;313.3056037;305.2686546;12.31831395;297.3710029;4.18;0.194424356;8.036949123;-6531.578788
702000;2547.313768;0.000194646;0.192974907;0.655331365;314.3197825;305.822536;12.15306122;297.45;4.18;0.194645729;8.497246474;-6913.522445
712800;2547.452571;0.00019724;0.204015416;0.6553288;314.9685373;306.2363869;12.34640523;297.6614016;4.18;0.197240322;8.732150432;-7199.348456
723600;2547.291396;0.000194525;0.191983137;0.655312289;314.8716197;306.3655458;11.90559187;296.4867466;4.18;0.194524782;8.506073803;-6916.404189
734400;2547.448876;0.000194505;0.192573919;0.655300931;314.1715373;306.0151923;11.90981818;296.5795273;4.18;0.194504871;8.156345002;-6631.356134
745200;2547.384671;0.000194264;0.188532691;0.655313916;313.6873824;305.3032178;11.04578488;295.4149709;4.18;0.194263675;8.384164653;-6808.127496
756000;2547.475018;0.000194726;0.211085696;0.655345235;313.6374729;305.0640474;11.47161572;296.3821689;4.18;0.194726041;8.573425475;-6978.381249
766800;2547.378788;0.000194525;0.213806062;0.655340088;314.0324549;305.2813129;11.91715116;296.6922965;4.18;0.194524608;8.751142028;-7115.666132
777600;2547.427954;0.000194484;0.199294396;0.655347041;314.9786024;305.8458934;12.35094067;296.9598408;4.18;0.194484467;9.132709011;-7424.390777
788400;2547.465654;0.000194625;0.201506997;0.655330462;315.7338639;306.3663531;12.29090909;297.1846182;4.18;0.194625208;9.367510888;-7620.782681
799200;2547.326354;0.000194404;0.201527611;0.655329539;315.6012635;306.5492778;12.27285922;297.4539187;4.18;0.194404329;9.051985783;-7355.735023
810000;2547.344404;0.000194966;0.187883561;0.655298829;315.0822022;306.5037186;12.80376539;298.1104634;4.18;0.194965901;8.578483606;-6991.099278
820800;2547.44733;0.000194284;0.189571525;0.655285672;314.2450938;306.1380232;12.3701016;298.1370102;4.18;0.194284108;8.107070656;-6583.813452
831600;2547.419611;0.000194845;0.184440813;0.655300755;313.7059885;305.6636364;12.56095791;297.2281567;4.18;0.194845275;8.042352079;-6550.119783
842400;2547.350725;0.000194706;0.203209204;0.655313397;313.6604348;305.4595651;12.56136529;297.3865287;4.18;0.194706116;8.200869776;-6674.454715
853200;2547.395533;0.000194444;0.200684433;0.655329879;314.1736311;305.5899857;13.03770848;297.3500725;4.18;0.194444441;8.58364545;-6976.596155
864000;2547.39726;0.000194444;0.206288004;0.655329622;315.7583694;306.2445167;12.76995646;297.35;4.18;0.194444441;9.51385263;-7732.647868
874800;2547.287879;0.000194585;0.212364769;0.655329819;317.5676767;307.1797258;13.06894049;297.3650943;4.18;0.194584733;10.38795088;-8449.187188
885600;2547.418773;0.000194926;0.221819306;0.655333831;318.9593275;308.0098988;13.30217391;297.5502174;4.18;0.194925789;10.94942873;-8921.482827
