#1
double wetter(8760, 16)
0        1	1	1	0.7	1010	251	7	8	3.7	93	0	0	299	-303	0
3600     1	1	2	0.9	1010	260	7.7	8	3.8	93	0	0	300	-304	0
7200     1	1	3	1.1	1009	261	6.9	8	3.7	91	0	0	298	-305	0
10800    1	1	4	1.3	1008	261	7.4	8	3.7	88	0	0	297	-306	0
14400    1	1	5	1.6	1007	250	8.2	8	3.6	86	0	0	296	-307	0
18000    1	1	6	1.8	1006	261	8.8	8	3.7	85	0	0	296	-307	0
21600    1	1	7	2.1	1005	261	8.5	8	3.7	84	0	0	297	-308	0
25200    1	1	8	2.1	1004	260	8.8	7	3.8	86	0	0	296	-309	0
28800    1	1	9	2.3	1003	270	8.7	8	4	89	0	5	298	-311	0
32400    1	1	10	2.9	1003	279	8.8	7	4.1	89	0	30	300	-312	0
36000    1	1	11	3.1	1003	271	7.8	6	4.1	86	0	57	291	-314	0
39600    1	1	12	3.3	1003	280	9.4	6	3.9	80	0	78	286	-315	0
43200    1	1	13	3.4	1003	280	8.4	7	3.7	75	0	37	290	-315	0
46800    1	1	14	3.7	1003	290	8.7	7	3.6	72	0	34	296	-313	0
50400    1	1	15	3.1	1003	290	8.2	7	3.4	70	0	25	296	-312	0
54000    1	1	16	3	1003	290	7.4	7	3.3	70	0	4	295	-310	0
57600    1	1	17	2.8	1004	290	6.5	7	3.3	70	0	0	295	-307	0
61200    1	1	18	2.5	1005	279	6.2	8	3.3	71	0	0	302	-305	0
64800    1	1	19	2.4	1005	279	5.8	8	3.3	72	0	0	307	-303	0
68400    1	1	20	2.1	1005	270	4.9	8	3.3	73	0	0	306	-301	0
72000    1	1	21	2	1006	271	4.8	7	3.2	73	0	0	298	-298	0
75600    1	1	22	1.4	1006	281	5.2	7	3.2	74	0	0	291	-295	0
79200    1	1	23	1.6	1006	291	5.9	7	3.1	74	0	0	289	-293	0
82800    1	1	24	1.5	1007	291	5.8	8	3	71	0	0	293	-292	0
86400    1	2	1	1.3	1006	291	6.6	7	3	71	0	0	290	-291	0
90000    1	2	2	1.1	1007	301	5.8	8	3	73	0	0	287	-290	0
93600    1	2	3	1	1007	300	5.7	7	3.1	75	0	0	285	-289	0
97200    1	2	4	0.8	1007	291	5.9	7	3.1	76	0	0	279	-288	0
100800   1	2	5	0.7	1007	291	5.4	7	3.1	77	0	0	276	-286	0
104400   1	2	6	0.7	1007	300	4.6	7	3.2	80	0	0	275	-286	0
108000   1	2	7	0.6	1007	291	4.7	7	3.2	80	0	0	273	-285	0
111600   1	2	8	0.4	1007	290	5.8	7	3.1	78	0	0	273	-285	0
115200   1	2	9	0.4	1008	299	6.1	7	3.1	78	0	5	271	-286	0
118800   1	2	10	0.7	1008	299	5	7	3.1	78	5	34	271	-289	0
122400   1	2	11	1	1009	289	5.2	7	3.1	78	0	45	271	-292	0
126000   1	2	12	0.9	1009	288	6.4	8	3.1	77	0	41	275	-296	0
129600   1	2	13	1.1	1009	298	5.3	7	3.1	76	0	63	276	-299	0
133200   1	2	14	1.2	1009	288	6.3	5	3	72	39	78	263	-300	0
136800   1	2	15	0.5	1009	289	6.9	3	2.9	71	46	50	244	-300	0
140400   1	2	16	-0.2	1010	290	5	1	2.9	75	0	17	223	-298	0
144000   1	2	17	-1.3	1010	269	3.7	1	2.9	81	0	0	213	-296	0
147600   1	2	18	-1.7	1010	261	3.2	2	2.9	86	0	0	217	-294	0
151200   1	2	19	-1.9	1010	270	3.4	3	3	90	0	0	227	-293	0
154800   1	2	20	-1.9	1011	270	3.7	3	3	92	0	0	230	-294	0
158400   1	2	21	-1.9	1011	268	3.9	2	3	92	0	0	226	-296	0
162000   1	2	22	-1.8	1011	278	3.7	4	3	91	0	0	231	-297	0
165600   1	2	23	-1.5	1011	289	3.8	6	3.1	91	0	0	248	-297	0
169200   1	2	24	-2	1012	280	3.2	6	3.1	92	0	0	257	-295	0
172800   1	3	1	-1.5	1012	300	3.8	7	3.1	93	0	0	261	-292	0
176400   1	3	2	-2.3	1012	291	3.2	5	3.1	93	0	0	256	-289	0
180000   1	3	3	-2.2	1012	291	3.2	5	3	94	0	0	246	-286	0
183600   1	3	4	-1.6	1012	301	4.3	7	3.1	95	0	0	255	-283	0
187200   1	3	5	-1.6	1012	311	4.6	7	3.2	94	0	0	264	-281	0
190800   1	3	6	-1.4	1012	311	4.7	7	3.2	93	0	0	263	-278	0
194400   1	3	7	-1.8	1012	273	3	6	3.1	93	0	0	258	-276	0
198000   1	3	8	-1.5	1012	302	4	7	3.2	94	0	0	258	-274	0
201600   1	3	9	-1.4	1012	302	3.5	7	3.2	94	0	8	262	-273	0
205200   1	3	10	-1.7	1013	283	4.3	8	3.2	94	2	41	265	-272	0
208800   1	3	11	-2.1	1013	292	5.1	7	3	92	0	53	263	-274	0
212400   1	3	12	-1.9	1014	311	4.5	8	3	91	0	51	261	-276	0
216000   1	3	13	-1.7	1014	282	5	7	3	89	0	54	262	-279	0
219600   1	3	14	-1.2	1014	290	4.4	7	2.9	86	0	55	256	-280	0
223200   1	3	15	-1.3	1014	280	4.7	7	2.9	83	0	44	256	-281	0
226800   1	3	16	-1.3	1014	279	2.9	6	2.8	82	0	5	252	-283	0
230400   1	3	17	-1.9	1014	291	3.2	5	2.8	83	0	0	243	-286	0
234000   1	3	18	-3.1	1014	280	2.5	4	2.7	86	0	0	235	-291	0
237600   1	3	19	-4	1014	240	2.2	5	2.6	89	0	0	236	-296	0
241200   1	3	20	-4.4	1014	211	2.4	6	2.5	91	0	0	246	-298	0
244800   1	3	21	-4	1014	221	3	6	2.6	93	0	0	253	-298	0
248400   1	3	22	-3.5	1014	240	3	6	2.7	93	0	0	258	-299	0
252000   1	3	23	-3.2	1014	270	3.1	6	2.8	94	0	0	262	-299	0
255600   1	3	24	-2.6	1014	290	3.6	7	2.9	94	0	0	268	-299	0
259200   1	4	1	-2.2	1014	290	3.2	8	3	94	0	0	275	-299	0
262800   1	4	2	-2.1	1013	242	2.2	8	3	94	0	0	280	-301	0
266400   1	4	3	-2.5	1013	201	2.8	8	3	93	0	0	280	-302	0
270000   1	4	4	-2.3	1013	191	2.6	8	2.9	93	0	0	281	-303	0
273600   1	4	5	-2.1	1012	201	2.6	8	3	93	0	0	282	-303	0
277200   1	4	6	-2	1012	211	3.1	8	3.1	94	0	0	281	-303	0
280800   1	4	7	-1.8	1012	211	3.2	8	3.1	95	0	0	282	-303	0
284400   1	4	8	-1.7	1012	210	2.9	8	3.2	96	0	0	282	-303	0
288000   1	4	9	-1.5	1012	201	2.8	8	3.3	96	4	11	282	-303	0
291600   1	4	10	-1.3	1012	191	2.8	8	3.3	95	41	60	281	-303	0
295200   1	4	11	-1	1012	200	3	7	3.3	93	5	72	278	-304	0
298800   1	4	12	-0.8	1012	201	3.3	8	3.2	91	0	61	278	-305	0
302400   1	4	13	-0.5	1012	210	3.6	7	3.2	89	0	63	277	-306	0
